child_slug,parent_slug,reviewer,review_batch,rationale,source_citation
black-beans,legume,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
blueberries,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
blueberry,fruit,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
bread,bakery,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
bread-crumbs,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
breadcrumbs,bread,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
brie,cheese,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
broccoli,vegetable,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
brown-mustard,mustard,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
brown-sugar,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
buns,bread,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
butter,oil-fat,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
buttermilk,dairy,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
caesar-dressing,salad-dressing,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
cake,dessert,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
capsicum,vegetable,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
cardamom,spice,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
carrot,vegetable,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
cauliflower,vegetable,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
cayenne-pepper,spice,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
celery,vegetable,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
cereal,grain,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
cheddar,cheese,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
cheese,dairy,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
cheese-soup,soup,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
cherry,fruit,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
cherry-pie,pie,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
chicken,poultry,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
chicken-breast,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
chicken-sauce,sauce,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
chicken-stock,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
chicken-stock-base,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
chili-garlic-sauce,sauce,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
chili-paste,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
chili-pepper,chilli-pepper,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
chilli-pepper,capsicum,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
chimichurri-sauce,sauce,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
chips,snack,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
chives,herb,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
chocolate,plant-derived,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
cilantro,herb,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
cinnamon,spice,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
clams,shellfish,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
clove-spice,spice,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
cocoa-powder,plant-derived,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
coconut,fruit,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
coconut-milk,beverage,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
coffee,beverage,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
coffee-creamer,beverage,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
coffee-pod,beverage,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
composite-food,prepared-food,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
condensed-milk,milk,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
condiment,prepared-food,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
cookies,dessert,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
cooking-spray,oil-fat,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
cooking-wine,wine,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
coriander,herb,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
coriander-seed,seed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
corn,grain,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
corn-starch,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
cornstarch,starch,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
couscous,grain,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
cream,dairy,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
cream-cheese,cheese,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
creamer,dairy,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
creme-fraiche,dairy,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
cucumber,vegetable,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
cumin,spice,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
curry-paste,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
curry-powder,spice,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
dairy,animal-derived,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
dessert,composite-food,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
dijon-mustard,mustard,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
dill,herb,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
dip,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
duck,meat,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
egg,egg-category,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
egg-category,animal-derived,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
egg-white,egg-category,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
egg-whites,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
egg-yolk,egg-category,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
eggs,egg-category,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
evaporated-milk,milk,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
feta,cheese,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
fish-sauce,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
flavoring,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
flour,flour-starch,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
flour-starch,plant-derived,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
foie-gras,duck,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
food,,operator-corrective-review-v2,full-ontology-resolution-v2,Single food root,frozen-eval-v3.11:primary-parent-review
food-coloring,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
fruit,plant-derived,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
fruit-preserve,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
garam-masala,spice,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
garlic,vegetable,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
garlic-cloves,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
gelatin,thickener,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
ghee,oil-fat,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
ginger,spice,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
grain,plant-derived,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
green-onion,vegetable,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
grits,corn,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
guacamole,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
half-and-half,cream,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
hazelnut,nut,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
heavy-cream,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
herb,plant-derived,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
hoisin-sauce,sauce,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
honey,sweetener,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
ingredient,food,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
jack-fruit,fruit,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
jalapeno-pepper,chilli-pepper,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
jasmine-rice,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
juice,beverage,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
ketchup,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
leafy-vegetable,vegetable,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
leavening,ingredient,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
leavening-agent,ingredient,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
leek,vegetable,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
legume,plant-derived,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
legumes,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
lemon,fruit,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
lemon-juice,beverage,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
lime,fruit,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
lime-juice,beverage,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
mango,fruit,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
maple-syrup,sweetener,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
marinara-sauce,tomato-sauce,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
marry-me-chicken,prepared-meal,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
marry-me-chicken-sauce,sauce,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
mascarpone,dairy,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
mayonnaise,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
meal,composite-food,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
meat,animal-derived,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
meat-alternative,ingredient,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
mexican-salsa,prepared-food,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
milk,dairy,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
milk-alternative,beverage,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
mint,herb,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
miso,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
miso-soup,soup,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
molasses,sweetener,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
mozzarella,cheese,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
multi-ingredient-soup,soup,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
mushroom,vegetable,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
mustard,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
nachos,prepared-meal,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
noodle,grain,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
noodle-soup,soup,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
noodles,grain,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
nut,plant-derived,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
nut-butter,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
nutmeg,spice,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
nuts,ingredient,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
oats,grain,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
oil,oil-fat,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
oil-fat,ingredient,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
olive,fruit,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
olives,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
onion,vegetable,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
orange,fruit,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
orange-juice,beverage,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
oregano,herb,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
oyster,shellfish,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
oyster-sauce,sauce,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
paprika,spice,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
parmesan,cheese,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
parsley,herb,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
passata,sauce,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
pasta,grain,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
peanut,legume,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
peanut-butter,nut-butter,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
peanuts,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
pear,fruit,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
pear-marmalade,pear,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
pepper,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
pepper-jack-cheese,cheese,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
peppercorn,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
