child_slug,previous_parent_slug,new_parent_slug,change_kind,review_state,reviewer,review_batch,rationale,source_citation
bread-crumbs,bread,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
breadcrumbs,,bread,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
brie,cheese,cheese,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
broccoli,,vegetable,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
brown-mustard,mustard,mustard,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
brown-sugar,sugar,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
buns,bread,bread,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
butter,spread,oil-fat,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
buttermilk,,dairy,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
caesar-dressing,salad-dressing,salad-dressing,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cake,dessert,dessert,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
capsicum,,vegetable,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cardamom,ingredient,spice,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
carrot,vegetable,vegetable,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cauliflower,vegetable,vegetable,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cayenne-pepper,,spice,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
celery,,vegetable,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cereal,grain,grain,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cheddar,,cheese,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cheese,dairy,dairy,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cheese-soup,soup,soup,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cherry,,fruit,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cherry-pie,pie,pie,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
chicken,poultry,poultry,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
chicken-breast,chicken,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
chicken-sauce,sauce,sauce,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
chicken-stock,stock,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
chicken-stock-base,stock-base,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
chili-garlic-sauce,sauce,sauce,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
chili-paste,condiment,condiment,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
chili-pepper,sauce,chilli-pepper,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
chilli-pepper,,capsicum,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
chimichurri-sauce,sauce,sauce,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
chips,snack,snack,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
chives,,herb,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
chocolate,,plant-derived,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cilantro,herb,herb,restored,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cinnamon,,spice,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
clams,shellfish,shellfish,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
clove-spice,,spice,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cocoa-powder,,plant-derived,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
coconut,,fruit,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
coconut-milk,beverage,beverage,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
coffee,beverage,beverage,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
coffee-creamer,creamer,beverage,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
coffee-pod,coffee,beverage,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
composite-food,prepared-food,prepared-food,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
condensed-milk,milk,milk,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
condiment,,prepared-food,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cookies,dessert,dessert,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cooking-spray,,oil-fat,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cooking-wine,wine,wine,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
coriander,,herb,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
coriander-seed,,seed,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
corn,grain,grain,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
corn-starch,starch,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cornstarch,,starch,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
couscous,wheat,grain,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cream,dairy,dairy,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cream-cheese,cheese,cheese,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
creamer,dairy,dairy,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
creme-fraiche,,dairy,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cucumber,vegetable,vegetable,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
cumin,,spice,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
curry-paste,condiment,condiment,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
curry-powder,,spice,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
dairy,,animal-derived,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
dessert,,composite-food,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
dijon-mustard,mustard,mustard,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
dill,,herb,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
dip,,condiment,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
duck,meat,meat,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
egg,ingredient,egg-category,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
egg-category,,animal-derived,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
egg-white,,egg-category,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
egg-whites,eggs,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
egg-yolk,,egg-category,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
eggs,,egg-category,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
evaporated-milk,milk,milk,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
feta,,cheese,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
fish-sauce,,condiment,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
flavoring,,condiment,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
flour,ingredient,flour-starch,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
flour-starch,,plant-derived,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
foie-gras,duck,duck,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
food,,,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
food-coloring,,condiment,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
fruit,,plant-derived,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
fruit-preserve,,condiment,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
garam-masala,,spice,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
garlic,vegetable,vegetable,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
garlic-cloves,garlic,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
gelatin,thickener,thickener,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
ghee,,oil-fat,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
ginger,spice,spice,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
grain,,plant-derived,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
green-onion,onion,vegetable,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
grits,corn,corn,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
guacamole,dip,condiment,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
half-and-half,cream,cream,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
hazelnut,,nut,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
heavy-cream,cream,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
herb,spice,plant-derived,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
hoisin-sauce,sauce,sauce,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
honey,sweetener,sweetener,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
ingredient,food,food,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
jack-fruit,,fruit,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
jalapeno-pepper,pickled-peppers,chilli-pepper,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
jasmine-rice,rice,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
juice,beverage,beverage,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
ketchup,condiment,condiment,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
leafy-vegetable,vegetable,vegetable,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
leavening,,ingredient,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
leavening-agent,,ingredient,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
leek,,vegetable,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
legume,,plant-derived,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
legumes,nuts,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
lemon,,fruit,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
lemon-juice,,beverage,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
lime,fruit,fruit,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
lime-juice,juice,beverage,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
mango,fruit,fruit,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
maple-syrup,syrup,sweetener,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
marinara-sauce,tomato-sauce,tomato-sauce,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
marry-me-chicken,prepared-meal,prepared-meal,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
marry-me-chicken-sauce,sauce,sauce,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
mascarpone,,dairy,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
mayonnaise,condiment,condiment,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
meal,,composite-food,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
meat,,animal-derived,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
meat-alternative,,ingredient,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
mexican-salsa,,prepared-food,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
milk,dairy,dairy,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
milk-alternative,ingredient,beverage,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
mint,,herb,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
miso,,condiment,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
miso-soup,soup,soup,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
molasses,sweetener,sweetener,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
mozzarella,cheese,cheese,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
multi-ingredient-soup,soup,soup,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
mushroom,,vegetable,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
mustard,condiment,condiment,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
nachos,prepared-meal,prepared-meal,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
noodle,ingredient,grain,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
