slug,canonical_name,entity_kind,identity_role,active,reviewer,review_batch,rationale,source_citation
beverage,Beverage,prepared_food,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
bibimbap,Bibimbap,ingredient,composite_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
bitters,Bitters,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
black-bean,Black Bean,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
black-bean-salad,Black bean salad,prepared_food,composite_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
black-bean-sauce,Black bean sauce,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
black-beans,Black beans,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
blueberries,Blueberries,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
blueberry,Blueberry,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
bread,Bread,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
bread-crumbs,Bread crumbs,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
breadcrumbs,Breadcrumbs,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
brie,Brie,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
broccoli,Broccoli,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
brown-mustard,Brown mustard,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
brown-sugar,Brown sugar,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
buns,Buns,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
butter,Butter,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
buttermilk,Buttermilk,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
caesar-dressing,Caesar dressing,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
cake,Cake,ingredient,composite_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
capsicum,Capsicum,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
cardamom,Cardamom,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
carrot,Carrot,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
cauliflower,Cauliflower,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
cayenne-pepper,Cayenne Pepper,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
celery,Celery,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
cereal,Cereal,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
cheddar,Cheddar,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
cheese,Cheese,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
cheese-soup,Cheese soup,composite_food,composite_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
cherry,Cherry,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
cherry-pie,Cherry pie,ingredient,composite_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
chicken,Chicken,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
chicken-breast,Chicken breast,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
chicken-sauce,Chicken sauce,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
chicken-stock,Chicken stock,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
chicken-stock-base,Chicken stock base,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
chili-garlic-sauce,Chili garlic sauce,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
chili-paste,Chili paste,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
chili-pepper,Chili pepper,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
chilli-pepper,Chilli Pepper,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
chimichurri-sauce,Chimichurri sauce,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
chips,Chips,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
chives,Chives,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
chocolate,Chocolate,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
cilantro,Cilantro,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
cinnamon,Cinnamon,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
clams,Clams,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
clove-spice,Clove,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
cocoa-powder,Cocoa Powder,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
coconut,Coconut,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
coconut-milk,Coconut milk,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
coffee,Coffee,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
coffee-creamer,Coffee creamer,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
coffee-pod,Coffee Pod,prepared_food,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
composite-food,Composite Food,composite_food,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
condensed-milk,Condensed milk,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
condiment,Condiment,prepared_food,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
cookies,Cookies,ingredient,composite_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
cooking-spray,Cooking Spray,prepared_food,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
cooking-wine,Cooking wine,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
coriander,Coriander,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
coriander-seed,Coriander Seed,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
corn,Corn,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
corn-starch,Corn starch,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
cornstarch,Cornstarch,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
couscous,Couscous,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
cream,Cream,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
cream-cheese,Cream cheese,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
creamer,Creamer,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
creme-fraiche,Crème Fraîche,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
cucumber,Cucumber,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
cumin,Cumin,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
curry-paste,Curry paste,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
curry-powder,Curry Powder,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
dairy,Dairy,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
dessert,Dessert,composite_food,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
dijon-mustard,Dijon mustard,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
dill,Dill,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
dip,Dip,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
duck,Duck,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
egg,Egg,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
egg-category,Egg Products,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
egg-white,Egg White,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
egg-whites,Egg whites,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
egg-yolk,Egg Yolk,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
eggs,Eggs,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
evaporated-milk,Evaporated milk,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
feta,Feta,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
fish-sauce,Fish Sauce,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
flavoring,Flavoring,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
flour,Flour,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
flour-starch,Flour and Starch,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
foie-gras,Foie gras,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
food,Food,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
food-coloring,Food Coloring,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
fruit,Fruit,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
fruit-preserve,Fruit preserve,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
garam-masala,Garam Masala,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
garlic,Garlic,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
garlic-cloves,Garlic cloves,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
gelatin,Gelatin,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
ghee,Ghee,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
ginger,Ginger,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
grain,Grain,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
green-onion,Green onion,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
grits,Grits,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
guacamole,Guacamole,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
half-and-half,Half and half,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
hazelnut,Hazelnut,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
heavy-cream,Heavy cream,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
herb,Herb,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
hoisin-sauce,Hoisin sauce,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
honey,Honey,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
ingredient,Ingredient,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
jack-fruit,Jack Fruit,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
jalapeno-pepper,Jalapeño Pepper,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
jasmine-rice,Jasmine rice,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
juice,Juice,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
ketchup,Ketchup,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
leafy-vegetable,Leafy vegetable,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
leavening,Leavening,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
leavening-agent,Leavening agent,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
leek,Leek,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
legume,Legume,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
legumes,Legumes,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
lemon,Lemon,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
lemon-juice,Lemon Juice,prepared_food,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
lime,Lime,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
lime-juice,Lime Juice,prepared_food,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
mango,Mango,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
maple-syrup,Maple syrup,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
marinara-sauce,Marinara sauce,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
marry-me-chicken,Marry Me Chicken,ingredient,composite_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
marry-me-chicken-sauce,Marry Me Chicken Sauce,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
mascarpone,Mascarpone,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
mayonnaise,Mayonnaise,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
meal,Meal,composite_food,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
