normalized_label,label,language,required_cohort,prior_entity_slugs,prior_mechanisms,prior_occurrences,decision,disposition_code,entity_slug,attributes_json,reviewer,review_batch,rationale,source_citation
apă,Apă,ro,ro,water,exact_alias,324,retain,D1,water,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
arborio rice,Arborio rice,und,,arborio-rice,exact_alias,49,retarget,D2,rice,"{""variety"":""arborio""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
avocado,Avocado,und,,avocado,exact_alias,362,retain,D1,avocado,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
azeite,Azeite,pt,pt,oil,attribute_alias,1332,retain,D2,oil,"{""variety"":""olive""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
azeite de oliva,Azeite de oliva,pt,pt,oil,attribute_alias,17,retain,D2,oil,"{""variety"":""olive""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
azúcar,azúcar,es,es,sugar,exact_alias,9,retain,D1,sugar,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
açúcar,açúcar,pt,pt,sugar,exact_alias,368,retain,D1,sugar,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
açúcar em pó,açúcar em pó,pt,pt,sugar,attribute_alias,22,retain,D2,sugar,"{""refinement"":""powdered""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
backpulver,Backpulver,de,de,baking-powder,exact_alias,695,retain,D1,baking-powder,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
bacon,Bacon,und,,bacon,exact_alias,375,retain,D1,bacon,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
baguette,Baguette,und,,baguette,exact_alias,70,retain,D1,baguette,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
baker s flour,baker's flour,en,,flour,attribute_alias,153,retain,D2,flour,"{""form"":""flour"",""refinement"":""bread""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
baking powder,Baking powder,und,,baking-powder,attribute_alias,1058,retain,D2,baking-powder,"{""form"":""powder""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
baking soda,Baking soda,und,,baking-soda,exact_alias,299,retain,D1,baking-soda,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
balsamic vinegar,Balsamic Vinegar,en,,vinegar,attribute_alias,217,retain,D2,vinegar,"{""variety"":""balsamic""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
barbecue sauce,Barbecue sauce,und,,barbecue-sauce,exact_alias,56,retain,D1,barbecue-sauce,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
basilikum,Basilikum,de,de,basil,exact_alias,200,retain,D1,basil,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
beef,Beef,und,,beef,exact_alias,35,retain,D2,beef,"{""species"":""beef""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
beef stock,Beef stock,und,,stock,attribute_alias,26,retain,D2,stock,"{""species"":""beef"",""variety"":""beef""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
beurre,beurre,fr,fr,butter,exact_alias,71,retain,D1,butter,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
bicarbonate of soda,bicarbonate of soda,en,,baking-soda,exact_alias,274,retain,D1,baking-soda,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
black bean sauce,Black bean sauce,und,,black-bean-sauce,exact_alias,1,retain,D1,black-bean-sauce,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
black beans,Black Beans,und,,black-bean,attribute_alias,12,retain,D1,black-bean,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
black pepper,Black Pepper,en,,pepper,attribute_alias,4,retarget,D2,piper-pepper,"{""variety"":""black""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
blanched almonds,blanched almonds,en,,almond,attribute_alias,212,retain,D2,almond,"{""processing"":""blanched""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
blueberries,Blueberries,und,,blueberry,attribute_alias,42,retain,D1,blueberry,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
blueberry,Blueberry,und,,blueberry,exact_alias,4,retain,D1,blueberry,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
brauner zucker,brauner Zucker,de,de,sugar,attribute_alias,317,retain,D2,sugar,"{""refinement"":""brown""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
bread,Bread,und,,bread,exact_alias,157,retain,D1,bread,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
bread crumbs,Bread crumbs,und,,breadcrumbs,attribute_alias,34,retain,D1,breadcrumbs,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
bread flour,bread flour,en,,flour,attribute_alias,161,retain,D2,flour,"{""form"":""flour"",""refinement"":""bread""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
breadcrumbs,Breadcrumbs,und,,breadcrumbs,exact_alias,114,retain,D1,breadcrumbs,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
brie,Brie,und,,brie,exact_alias,7,retain,D1,brie,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
brown sugar,Brown sugar,und,,sugar,attribute_alias,662,retain,D2,sugar,"{""refinement"":""brown""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
burro,burro,it,it,butter,exact_alias,37,retain,D1,butter,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
butter,Butter,und,,butter,exact_alias,2807,retain,D1,butter,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cake flour,Cake Flour,en,,flour,attribute_alias,32,retain,D2,flour,"{""form"":""flour"",""refinement"":""cake""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cardamom,Cardamom,und,,cardamom,exact_alias,4,retain,D1,cardamom,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cardamom pod,Cardamom Pod,en,,cardamom,attribute_alias,27,retain,D2,cardamom,"{""form"":""pod""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
carottes,carottes,fr,fr,carrot,exact_alias,45,retain,D1,carrot,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
carrot,Carrot,und,,carrot,exact_alias,495,retain,D1,carrot,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
carrots,carrots,en,,carrot,exact_alias,934,retain,D1,carrot,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
caster sugar,caster sugar,en,,sugar,attribute_alias,987,retain,D2,sugar,"{""refinement"":""caster""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cauliflower,Cauliflower,und,,cauliflower,exact_alias,129,retain,D1,cauliflower,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cebola,cebola,pt,pt,onion,exact_alias,806,retain,D1,onion,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cebolla,cebolla,es,es,onion,exact_alias,15,retain,D1,onion,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cenoura,cenoura,pt,pt,carrot,exact_alias,377,retain,D1,carrot,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cheddar cheese,cheddar cheese,en,,cheddar,exact_alias,273,retain,D1,cheddar,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cheese,Cheese,und,,cheese,exact_alias,16,retain,D1,cheese,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cherry,Cherry,und,,cherry,exact_alias,1,retain,D1,cherry,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
chicken,Chicken,und,,chicken,exact_alias,33,retain,D2,chicken,"{""species"":""chicken""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
chicken breast,Chicken breast,und,,chicken,attribute_alias,40,retain,D2,chicken,"{""cut"":""breast"",""species"":""chicken""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
chicken breasts,Chicken Breasts,en,,chicken,attribute_alias,59,retain,D2,chicken,"{""cut"":""breast"",""species"":""chicken""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
chicken stock,Chicken stock,und,,stock,attribute_alias,113,retain,D2,stock,"{""species"":""chicken"",""variety"":""chicken""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
chicken stock paste,chicken stock paste,en,,stock-paste,attribute_alias,276,retain,D2,stock-paste,"{""form"":""paste"",""species"":""chicken"",""variety"":""chicken""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
chicken thigh,Chicken Thigh,en,,chicken,attribute_alias,1,retain,D2,chicken,"{""cut"":""thigh"",""species"":""chicken""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
chicken thighs,Chicken Thighs,en,,chicken,attribute_alias,12,retain,D2,chicken,"{""cut"":""thigh"",""species"":""chicken""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
chili garlic sauce,Chili garlic sauce,und,,chili-garlic-sauce,exact_alias,4,retain,D1,chili-garlic-sauce,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
chips,Chips,und,,chips,exact_alias,1,retain,D1,chips,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cilantro,Cilantro,und,,coriander,attribute_alias,85,retain,D1,coriander,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cilantro fresco,cilantro fresco,es,es,coriander,attribute_alias,65,retain,D2,coriander,"{""state"":""fresh""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cipolla,cipolla,it,it,onion,exact_alias,32,retain,D1,onion,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
clams,Clams,und,,clams,exact_alias,8,retain,D1,clams,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cocoa powder,cocoa powder,und,,cocoa-powder,attribute_alias,278,retain,D2,cocoa-powder,"{""form"":""powder""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
coconut milk,Coconut milk,und,,coconut-milk,exact_alias,361,retain,D2,coconut-milk,"{""variety"":""coconut""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
coentros,coentros,pt,pt,coriander,exact_alias,205,retain,D1,coriander,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
coentros frescos,coentros frescos,pt,pt,coriander,attribute_alias,1,retain,D2,coriander,"{""state"":""fresh""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
coffee,Coffee,und,,coffee,exact_alias,1,retain,D1,coffee,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
coffee creamer,Coffee creamer,und,,coffee-creamer,exact_alias,1,retain,D1,coffee-creamer,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
condensed milk,Condensed milk,und,,condensed-milk,exact_alias,42,retain,D1,condensed-milk,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cookies,Cookies,und,,cookies,exact_alias,1,retain,D1,cookies,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cooking wine,Cooking wine,und,,cooking-wine,exact_alias,1,retain,D1,cooking-wine,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
coriander,Coriander,und,,coriander,exact_alias,2,retain,D1,coriander,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
coriander leaves,coriander leaves,en,,coriander,exact_alias,24,retain,D2,coriander,"{""plant_part"":""leaf""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
coriander seed,coriander seed,und,,coriander-seed,attribute_alias,7,retain,D2,coriander-seed,"{""form"":""whole""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
coriander seeds,coriander seeds,en,,coriander-seed,attribute_alias,232,retain,D2,coriander-seed,"{""form"":""whole""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
coriandre fraîche,coriandre fraîche,fr,fr,coriander,attribute_alias,42,retain,D2,coriander,"{""state"":""fresh""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
corn starch,Corn starch,und,,corn-starch,exact_alias,135,retarget,D2,cornstarch,"{""variety"":""corn""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cornstarch,Cornstarch,und,,cornstarch,exact_alias,124,retain,D1,cornstarch,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
courgette,courgette,en,,zucchini,exact_alias,116,retain,D1,zucchini,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
courgettes,courgettes,fr,fr,zucchini,exact_alias,196,retain,D1,zucchini,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
couscous,Couscous,und,,couscous,exact_alias,215,retain,D1,couscous,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cream,Cream,und,,cream,exact_alias,79,retain,D1,cream,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cream cheese,Cream cheese,und,,cream-cheese,exact_alias,465,retain,D1,cream-cheese,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cucumber,Cucumber,und,,cucumber,exact_alias,187,retain,D1,cucumber,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cukier puder,cukier puder,pl,pl,sugar,attribute_alias,2,retain,D2,sugar,"{""refinement"":""powdered""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
cumin seeds,cumin seeds,en,,cumin,attribute_alias,314,retain,D2,cumin,"{""form"":""whole""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
d eau,d eau,und,,water,exact_alias,2619,retain,D1,water,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
d huile,D'huile,fr,fr,oil,exact_alias,20,retain,D1,oil,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
d huile d olive,D'huile d'olive,fr,fr,oil,attribute_alias,1536,retain,D2,oil,"{""variety"":""olive""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
d oignon,d oignon,und,,onion,exact_alias,544,retain,D1,onion,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
d oignons,d oignons,und,,onion,exact_alias,424,retain,D1,onion,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
d olives,d olives,und,,olive,attribute_alias,3,retain,D1,olive,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
d orange,d orange,und,,orange,exact_alias,4,retain,D1,orange,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
d origan séché,d origan séché,und,,oregano,attribute_alias,31,retain,D1,oregano,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
d échalotes,d échalotes,und,,shallot,exact_alias,242,retain,D1,shallot,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
d œuf,d œuf,und,,egg,attribute_alias,3,retain,D1,egg,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
d œufs,d œufs,und,,egg,attribute_alias,3,retain,D1,egg,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de aceite,de aceite,und,,oil,exact_alias,98,retain,D1,oil,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de aceite de oliva,De aceite de oliva,es,es,oil,attribute_alias,650,retain,D2,oil,"{""variety"":""olive""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de agua,De agua,es,es,water,exact_alias,1008,retain,D1,water,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de azúcar,de azúcar,und,,sugar,exact_alias,576,retain,D1,sugar,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de azúcar glas,de azúcar glas,und,,sugar,attribute_alias,60,retain,D1,sugar,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de bacon,de bacon,und,,bacon,exact_alias,50,retain,D1,bacon,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de baguette,de baguette,und,,baguette,exact_alias,9,retain,D1,baguette,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de beurre,de beurre,fr,fr,butter,exact_alias,855,retain,D1,butter,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de blueberry,de blueberry,und,,blueberry,exact_alias,2,retain,D1,blueberry,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
