product_id,product_fingerprint,product_name,prior_state,disposition_code,entity_slug,attributes_json,reviewer,review_batch,rationale,source_citation
13,8c3b93443c5386f8c4304a9715606239683c6661b2bf2c7101a85c4efd400105,Aromatic Bitters,full-resolution-v1:D1,D1,bitters,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
14,06beb677c69fe8da84c4b345c28e3377103d500b3197484914d5f7d450d75810,Japanese Barbecue Sauce,full-resolution-v1:D1,D1,barbecue-sauce,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
15,ed55a59be004c85f45d42015bab8b493b70edd1f29701ec5e66a67a04562daa2,Thick 'N Chunky Salsa Verde,full-resolution-v1:D5,D5,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Retail salsa is prepared/composite and bare salsa identity is quarantined,frozen 174-product corpus
16,1a67da9fe55847f88d77be10d4b37d431d5dc08df6ffbe464c077be34c4e7a15,Kikkoman Soy Sauce,full-resolution-v1:D1,D1,soy-sauce,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
17,66e831814ab46896ed2fe80ca96a25f3c519371daad5703f3afb6af0d22858a4,Amazon Spicy Brown Mustard,full-resolution-v1:D1,D1,spicy-brown-mustard,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
18,3309b02631c4c4585ec862d81f78cfc1cf6573bd0349762577b09403f9eba3f8,Classic Yellow Mustard,full-resolution-v1:D1,D1,yellow-mustard,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
19,5f9bc014441c9a0de530c6618ef8fbe260921bca55e04de803771499effb2c08,Kroger Dijon Mustard,full-resolution-v1:D1,D1,dijon-mustard,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
20,38f0b1a574fcc95b60d99db89b49abe5ed4848297c609eb6c0a771afe1a5632a,Gulden's Mustard Spicy Brown,full-resolution-v1:D1,D1,spicy-brown-mustard,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
21,9ef2a27d4af84b108ac29ecbbab913b4f6e7ed92efadf342e2c5fa8a7ed07cd2,Heinz Ketchup,full-resolution-v1:D1,D1,ketchup,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
22,d673ca817361d111ecb478d3ed8d81fadfd8f44951cb173862e218d811bc941e,Kroger Caesar Dressing,full-resolution-v1:D1,D1,caesar-dressing,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
23,2855b2192f2c944f15b192b2231ecb4a2a4a2f352f5a67e889b826eff944699c,Sweet Baby Ray’s Barbecue Sauce,full-resolution-v1:D1,D1,barbecue-sauce,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
24,a8f2fe5a8d992039811db7ce2ef613ba783b9a86540a70af575e87ce51dfe81a,Kraft Real Mayo Creamy & Smooth,full-resolution-v1:D1,D1,mayonnaise,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
25,01d15f1266ce35881eb71eb6e4db7efebb859f680c21be54777f0702f2b320bd,Kroger Light Mayo,full-resolution-v1:D9,D9,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Light mayonnaise identity and defining formulation are not proven,frozen 174-product corpus
26,f727e9627d3e4ee3246ff537f0f3a06eb26690b40e28d9616ae4fab9d4f93006,Whole Foods Organic Kalamata Pitted Olives,full-resolution-v1:D1,D1,olive,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
27,e979257e8d63b7c645f3ed24af3a1cc922cfe3e00a1c6b5211ec57ac0c5a47bf,Vlasic Ovals Hamburger Dill Chips,full-resolution-v1:D1,D1,pickle-chips,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
28,3f88b0f5317e6bcc99bb5fc27af54ca6b1234d0e7754fa65501e9466e3f17762,Kroger Hamburger Dill Fast Food Style Chips,full-resolution-v1:D1,D1,pickle-chips,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
29,d914492b730a8120c3cde61c1fe1fbeb01ee039936239c900f298485f68816a8,Hamburger Dill Chips Oval Cut,full-resolution-v1:D1,D1,pickle-chips,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
30,15e8fc26b1bbbbb431a45803845db68341ab04ac16a76bdfba01b938bc3b7f42,Hot Banana Pepper Rings,full-resolution-v1:D2,D2,pickled-peppers,"{""form"":""rings"",""processing"":""pickled""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
31,15fff277fb45ed67b33b4826df38819d2855e62bd6c5e35bf83989f38e822e9c,Pearl Couscous,full-resolution-v1:D1,D1,couscous,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
32,4c403ca1d44f86c6b0081de38e7b6557cd675b99663a66b72eb3eb5b01a15b50,Sliced Tamed Jalapeño Peppers,full-resolution-v1:D2,D2,jalapeno-pepper,"{""form"":""sliced"",""processing"":""pickled"",""variety"":""jalapeno""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
33,2be4e3f83a3090fd56f058859fa20e9023e28c54f0907805e5789bc364667bd4,COCONUT MILK,full-resolution-v1:D1,D1,coconut-milk,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
34,bfb93aa5b7d472d345808a8fe0a6cc8463b4b73dda1745ed79d9993b9bde95c8,Arborio Rice,full-resolution-v1:D2,D2,rice,"{""variety"":""arborio""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
35,3d5cb6f25837cbd7f7709081b30f94d526bfddaeb0ba45064c4cad9bf9e95332,Pear Marmalade,full-resolution-v1:D1,D1,pear-marmalade,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
36,96d1f6a421a14951c9038d5400121362f7fec9bc902b8d7c880d661ef030a943,Chopped Walnuts,full-resolution-v1:D2,D2,walnut,"{""form"":""chopped""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
37,77a6c4f9874725e64d0f5686bd45a35264d4f7f368551be05328d817a1a9f2b9,GATORADE FROST THIRST QUENCHER CRISP S. COOL,full-resolution-v1:D1,D1,sports-drink,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
38,cc9e3d645fd87de4ef51bffd4eb8e50e34cba8269e7454acc4d5522b910f0207,Clover Honey,full-resolution-v1:D1,D1,honey,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
39,c20d2d9f297e779e5fb770aa70734b021b45326dc0e82e48958c8f61860f00e7,Stephen’s Volterra Leftovers,full-resolution-v1:D9,D9,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Personal leftovers label is opaque but not automatically noise,frozen 174-product corpus
40,88ecc0ee234317deb18fd32971488e8d172953abbc3c789e2d4aedec2a8de402,Honey,full-resolution-v1:D1,D1,honey,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
41,784bea89b3e651a734a1a88fe74bdd6099ac2476e265a74c31046d05db726c2f,Steph’s Pizza Leftovers,full-resolution-v1:D5,D5,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Broad structural prepared/composite category is not identity,frozen 174-product corpus
42,874a1116134d36c8427a20cd22b5824691f04973804d0533fc41351ea06f8ba9,Amazon Cream Cheese,full-resolution-v1:D1,D1,cream-cheese,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
43,80c2a0c125ae7c9da03e5fe47ed8105ef48cd47cc40570cb8e8955638e736ab0,Costco Salted Sweet Cream Butter,full-resolution-v1:D2,D2,butter,"{""saltedness"":""salted""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
44,e0ba5af377b60facec4d44dd993f08565275e3cf42152d372ff6b28dc002fa9b,Traditional Bread Crumbs,full-resolution-v1:D1,D1,breadcrumbs,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
45,cba9ab366269b9e6dfbff5eb5090a0d1c13c761b4ce2e4bd58fac6ce3d54a1ea,Patterson Cellars Dessert Wine,full-resolution-v1:D2,D2,wine,"{""wine_sweetness"":""sweet""}",operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed dessert wine base and sweetness,frozen 174-product corpus
46,9aa9b49979e1d4a5cf545754b54a79e7445ed65656371ee651d778d57a8f3d72,Organic Condensed Milk Sweetened,full-resolution-v1:D2,D2,condensed-milk,"{""sweetening"":""sweetened""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
47,45fd0f8fc7e1e475e071d956d739391f897000b7eba60881b2b78899b62dad68,Better Than Bouillon Roasted Chicken Base,full-resolution-v1:D2,D2,stock-paste,"{""processing"":""roasted"",""variety"":""chicken""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
48,32ce188a5a9317713e958353cc1cce550a23fb0fd4be518c43e43f2493433ad1,Evaporated Milk,full-resolution-v1:D1,D1,evaporated-milk,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
49,a6ef7ab41410979ad995509a93a83242d4b4f79ce6df8fc8516a90398196d534,Costco Chicken Tortilla Soup,full-resolution-v1:D5,D5,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Multi-ingredient retail soup is composite,frozen 174-product corpus
50,b5d0293a6934b6e6da0b717a12d4591ae81af865cc4f62e9462fb84d32dbac61,Chopped sea clams,full-resolution-v1:D2,D2,clams,"{""form"":""chopped""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
51,737df552b66136395727777bfbd4b53f2ee62b1305b287a92b3a89daf48d370d,Unsalted Peanuts,full-resolution-v1:D2,D2,peanut,"{""saltedness"":""unsalted""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
52,cf4e764c3c8708cdde0b0a2b96c2579d12b21f417d5d7d6a8292354a757024a2,Kroger Pure Baking Soda,full-resolution-v1:D1,D1,baking-soda,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
53,92b3c993287cf1697cee9b9e1c1447a6be872a339d39e485c37d532a10675380,Trader Joe’s Baking Soda,full-resolution-v1:D1,D1,baking-soda,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
54,fc4c94ab5648be0ab9291b4dd6feaaeebf244f1645bba5b36a4919214621cb6a,Paris Baguette Cake,full-resolution-v1:D5,D5,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Retail cake is composite,frozen 174-product corpus
55,c503862e449d83ed839eacfbf9a2b058ba1593967c77d8aab60f2735d236187a,Grits Quick 5-Minute,full-resolution-v1:D1,D1,grits,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
56,c6531191dfb79d244a41dd4c32b9371ded935d5b6dfe5a62718f3da07ae3bc9a,Challenge Unsalted Butter Cubes,full-resolution-v1:D2,D2,butter,"{""form"":""cubes"",""saltedness"":""unsalted""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
57,dca42c0797cd2fba7aaa0402c28202022d9c804cc4ccc49747d7defecf1e6b27,Daisy Sour Cream,full-resolution-v1:D1,D1,sour-cream,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
58,aedc957a6e46ed342d6d6654dbd39e75eb9bf24dcf64e03c90cb9f20ebeed42c,Amazon Heavy Whipping Cream Ultra-Pasteurized,full-resolution-v1:D2,D2,cream,"{""cream_class"":""whipping"",""fat_content"":""heavy"",""processing"":""ultra_pasteurized""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
59,07d12adf99abb74ef50417977492a2071c7565e2359ca0a21d10701d645e2d62,Buzzball Espresso Martini,full-resolution-v1:D5,D5,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Espresso martini is a prepared composite beverage,frozen 174-product corpus
60,a1e56accc2c38766574289fc95e2f138482f224edcbcb42df62686ccdab82928,Tostitos Chunky Salsa Mild,full-resolution-v1:D5,D5,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Retail salsa is prepared/composite and bare salsa identity is quarantined,frozen 174-product corpus
61,32c85fa67437c81df00101ae6e5319e02b5716b659a53c61c519a1242a26b55d,QFC Birthday Cake,full-resolution-v1:D5,D5,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Birthday cake is composite,frozen 174-product corpus
62,44b3060a22c7411ec45f27604849b79d9bae32fe352f7811a12e4a90dd8dfabc,Black Bean And Roasted Corn Salad,full-resolution-v1:D1,D1,black-bean-salad,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
63,a3e5b19b9f99415443697253c0ce929266800eda40cdde63ee370a933ef832d5,Private Selection Sandwich Buns,full-resolution-v1:D1,D1,buns,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
64,cfc0fa315c4d1078f8a31b9d449ea4254fb5b437a1da0f68106b9a7e5942d7aa,Steph Quesabirria,full-resolution-v1:D5,D5,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Quesabirria is a prepared meal,frozen 174-product corpus
65,20cc75ab620e57e32349297ba1478fec7b4aea5893e55eb538947d14e3a0a947,Stephen Wendy’s,full-resolution-v1:D9,D9,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Personal restaurant shorthand is opaque,frozen 174-product corpus
66,9115485f2db09eb329cd7e8a5363c4a47925300e0c1fb8c6b203c973ac672ae3,Crispy Fruit Pineapple,full-resolution-v1:D9,D9,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Crispy retail processing is not sufficiently specified,frozen 174-product corpus
67,a092bd4fa225255268dcfefc4e96b7edd677f41e6e7d7d6c3f0943112cfb18ae,Costco Dairy-Free Reduced fat milk,full-resolution-v1:D2,D2,milk-alternative,"{""fat_content"":""reduced_fat""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
68,3f9545d1a675812c11040e3144d404aa53e6d9a8a0cac0109ba3fa82b971d22a,Tamarind Soft Drink,full-resolution-v1:D5,D5,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Tamarind soft drink is a prepared beverage,frozen 174-product corpus
69,12ec46dc742c6d3297a17657b928b283d9c26e1a2149f54d456cf7b148945f47,Non GMO Corn Starch,full-resolution-v1:D1,D1,cornstarch,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
70,0953ff479a0a32a794c1e60cb4c43cf6e0b5e3d851c719c6977c406287f0dd42,Coffee mate French Vanilla,full-resolution-v1:D1,D1,coffee-creamer,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
71,9490e2708be2c7f99da480c1cab40fb4888ab1a0d7f75a2a908cff243142e590,Baking Powder,full-resolution-v1:D1,D1,baking-powder,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
72,24d26d019036d84ab0833312a59dc8f7738f67eeab28f43872154c69130c02ec,Buzzball Berry Cherry Biggie,full-resolution-v1:D9,D9,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Opaque branded alcoholic beverage lacks a reviewed exact identity,frozen 174-product corpus
73,3acdf57cc1747f727b3cd7bd580d1b68c736dabce5be2ffeaa70b75a9eaef487,Buzzball Boulder Berry Cherry Limeade,full-resolution-v1:D9,D9,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Opaque branded alcoholic beverage lacks a reviewed exact identity,frozen 174-product corpus
74,c392bb485b2e2d0095802ea0471218f8445b14bf363cd0ad5e0ee1e1f6b3e8ca,Sun Dried Tomatoes,full-resolution-v1:D2,D2,tomato,"{""processing"":""dried""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
75,fd1aab483b1272a05a306f78b548979d660fd61dd20f2bb69ce9e91c1805a48d,Darigold Half & half,full-resolution-v1:D2,D2,cream,"{""cream_class"":""half_and_half""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
76,d364ddf87311a2139936cfae047308098497d99b0e59e31eae3b4d6383a40dba,Italian Style Bread Crumbs,full-resolution-v1:D1,D1,breadcrumbs,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
77,f15c7f05228943073e55d7de4cbebedf5560f45f4f622ea17db4f5081fea4254,Pure Maple Syrup,full-resolution-v1:D1,D1,maple-syrup,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
78,87e0feb1e0cf7af011443651398f115e42d9e6d1f114fb2546d8f9d126a535f1,Creamy Peanut Butter,full-resolution-v1:D1,D1,peanut-butter,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
79,0aa75077a57825ab2083ccf4631f299d87f06bf199927d65a8d37deb5b8e6879,Swanson Beef Stock,full-resolution-v1:D2,D2,stock,"{""variety"":""beef""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
80,0339f79a56d5fd46cccf320b79bc57a6fb51dbce456fa8066ae47d8fe96dfbd6,Hunts Original Tomato Sauce,full-resolution-v1:D1,D1,tomato-sauce,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
81,18591dac96728911e60baea584d4f95937c72144afecbc1aee135f0e55c09908,Swanson Chicken Stock,full-resolution-v1:D2,D2,stock,"{""variety"":""chicken""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
82,1bd56938c29251e29c7ab68dbe079ee64adf1feafb5268ff74fb898235d3175f,Organic Coconut Unsweetened Coconutmilk,full-resolution-v1:D2,D2,coconut-milk,"{""sweetening"":""unsweetened""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
83,73be24450985899d2a59ffb8bf46dfac0bac3008f00ff06867cbe80e7a7eb206,Simple Truth Free Range Chicken Stock,full-resolution-v1:D2,D2,stock,"{""variety"":""chicken""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
84,eeec483273d2539ccddc222ec24a04a4c43766bcb1e448ae1f8148a9518fccd7,Zero Sugar Tamarind Soda,full-resolution-v1:D5,D5,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Tamarind soda is a prepared beverage,frozen 174-product corpus
85,b07a931ee4391891f8ff2e8ac1a53d7051ee79623a73f52768a60836434cc300,Jinro Soju Green Grape,full-resolution-v1:D9,D9,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Flavored branded soju lacks an exact reviewed product identity,frozen 174-product corpus
86,8a3be18073f80150a4fd6a06088b663903eca3e70c2773889be151269b213fa9,Whole Unroasted & Unsalted Almonds,full-resolution-v1:D2,D2,almond,"{""form"":""whole"",""saltedness"":""unsalted""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
87,67c3b21ebf74ceb0e303397befe205505fc8c977ce5d6804cc1ffa9be803f825,ARRABBIATA Spicy Marinara,full-resolution-v1:D1,D1,marinara-sauce,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
88,6a20c86d9e1c2dda133c8d9221e1b2f7142599fc66d6f92fb6f20b0ec68f633f,Molasses,full-resolution-v1:D1,D1,molasses,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
89,9406d9104d6b9f5bae61bd6d616670875186b2acc94e45987f9be6d66718763d,Sliced almonds,full-resolution-v1:D2,D2,almond,"{""form"":""sliced""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
90,1ab4b1ecb2b2e31570f1bea7284b058865dd9ff5a4d34b51cb50467433218cc4,Shredded Mexican-Style Blend Cheese,full-resolution-v1:D2,D2,cheese,"{""form"":""shredded""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
91,93fdd60f8be26448ba96138c7f70d88718e2d77d22a306664747549031d5a759,Organic Brown Sugar,full-resolution-v1:D2,D2,sugar,"{""refinement"":""brown""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
92,eabaaa7aca2fa4a471b61714b4a3be8fe91ae55c5253fe862303e538836ba60a,Low Moisture Mozzarella cheese block,full-resolution-v1:D2,D2,mozzarella,"{""form"":""block""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
93,6d9f84d70fc65891f39e723aab0229e78b827040fb50d4f2b724c7fb21ffcbe5,Kroger Swiss Cheese Slices,full-resolution-v1:D2,D2,swiss-cheese,"{""form"":""sliced""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
94,c43e44abf9dabfc3593c83c6fa0f6d798c512b2cd1726b42387b3e40bf3eeee4,Papillote 3 Tartinables,full-resolution-v1:D9,D9,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Opaque assortment label does not prove a single spread identity,frozen 174-product corpus
95,61eb5ec8c2a04e5be1c6a8e9f7456196a5d2474a27ef633283b20149968f5105,Kroger Pepper Jack Cheese Slices,full-resolution-v1:D2,D2,pepper-jack-cheese,"{""form"":""sliced""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
96,fe6ec1bcb7583f0ace1ee4ac8cdfd1ed51684778495f2efaf5fad3d3f2a4ea8e,Gelatine; Unflavored,full-resolution-v1:D1,D1,gelatin,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
97,eb308c620bcbb78065f26a5412c6b35c07dd4b62dbf94215c53b37f4c5d621fb,Bloc de foie gras canard,full-resolution-v1:D2,D2,foie-gras,"{""form"":""block"",""species"":""duck""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
98,3c6d12850c52529b9ccb75ddfbae8869dab1e0729353221f2342f3e0ea0376a1,Red Baron Brick Oven Pepperoni Pizza,full-resolution-v1:D1,D1,pepperoni-pizza,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
99,a5f7c79c67162240f01fbe546215667aab79a85e281ed96c3ee1897005b78a31,Frosted Sugar Cookies,full-resolution-v1:D1,D1,cookies,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
100,ec30d3c3645821bb0a9caa450b8b31cc289b7b810297e2f576a647c35c4b9178,Onion & herb seasoning blend,full-resolution-v1:D1,D1,seasoning-blend,{},operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
101,797a16fad18afb208009ab9086868565f4e97824b29da20e81e62dc00b866536,Steph’s taco’s,full-resolution-v1:D5,D5,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Tacos are a prepared composite meal,frozen 174-product corpus
102,5f0bbad3fa1574058343ab2e7e927c48883cec71e3f41206adbd864b147e05fa,Cauliflower florets,full-resolution-v1:D2,D2,cauliflower,"{""form"":""florets""}",operator-corrective-review-v2,full-ontology-resolution-v2,Fingerprint-bound curated product review retained,frozen 174-product corpus
