id,polarity,label,language,expected_status,expected_entity_slug,expected_attributes,context,source_citation,reviewer,rationale
independent-holdout-positive-018,positive,(SAL),und,accepted,salt,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-019,positive,(D'HUILE D'OLIVE),fr,accepted,oil,"{""variety"":""olive""}","{""cohort"":""fr""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-020,positive,(GARLIC CLOVE),en,accepted,garlic,"{""form"":""clove""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-021,positive,(PLAIN FLOUR),en,accepted,flour,"{""form"":""flour"",""refinement"":""plain""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-022,positive,(ÁGUA),pt,accepted,water,{},"{""cohort"":""pt""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-023,positive,(LEMON JUICE),und,accepted,lemon-juice,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-024,positive,(SEA SALT),en,accepted,salt,"{""salt_class"":""sea""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-025,positive,(AZEITE),pt,accepted,oil,"{""variety"":""olive""}","{""cohort"":""pt""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-026,positive,(MEHL),de,accepted,flour,"{""form"":""flour""}","{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-027,positive,(DE SAL),es,accepted,salt,{},"{""cohort"":""es""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-028,positive,(OLIVENÖL),de,accepted,oil,"{""variety"":""olive""}","{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-029,positive,(EIER),de,accepted,egg,"{""egg_part"":""whole""}","{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-030,positive,(DI ACQUA),it,accepted,water,{},"{""cohort"":""it""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-031,positive,(MILCH),de,accepted,milk,{},"{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-032,positive,(ONIONS),en,accepted,onion,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-033,positive,(MILK),und,accepted,milk,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-034,positive,(BAKING POWDER),und,accepted,baking-powder,"{""form"":""powder""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-035,positive,(EGGS),und,accepted,egg,"{""egg_part"":""whole""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-036,positive,(DE AGUA),es,accepted,water,{},"{""cohort"":""es""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-037,positive,(CASTER SUGAR),en,accepted,sugar,"{""refinement"":""caster""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-038,positive,(HONEY),und,accepted,honey,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-039,positive,(CARROTS),en,accepted,carrot,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-040,positive,(KNOBLAUCHZEHE),de,accepted,garlic,"{""form"":""clove""}","{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-041,positive,(ZWIEBELN),de,accepted,onion,{},"{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-042,positive,(LEMON),und,accepted,lemon,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-043,positive,(ÖL),de,accepted,oil,{},"{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-044,positive,(DE POIVRE MOULU),fr,accepted,piper-pepper,"{""form"":""ground""}","{""cohort"":""fr""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-045,positive,(GROUND CINNAMON),en,accepted,cinnamon,"{""form"":""ground""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-046,positive,(DE BEURRE),fr,accepted,butter,{},"{""cohort"":""fr""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-047,positive,(PARMESAN CHEESE),en,accepted,parmesan,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-048,positive,(ZITRONENSAFT),de,accepted,lemon-juice,{},"{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-049,positive,(SOLI),pl,accepted,salt,{},"{""cohort"":""pl""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-050,positive,(KNOBLAUCHZEHEN),de,accepted,garlic,"{""form"":""clove""}","{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-051,positive,(DE SUCRE EN POUDRE),fr,accepted,sugar,"{""refinement"":""granulated""}","{""cohort"":""fr""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-052,positive,(CEBOLA),pt,accepted,onion,{},"{""cohort"":""pt""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-053,positive,(PIMENTA),pt,accepted,piper-pepper,{},"{""cohort"":""pt""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-054,positive,(VEGETABLE OIL),en,accepted,oil,"{""variety"":""vegetable""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-055,positive,(GEWÜRZPASTE FÜR GEMÜSEBRÜHE SELBST GEMACHT),de,accepted,stock-paste,"{""variety"":""vegetable""}","{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-056,positive,(DE FARINE DE BLÉ),fr,accepted,flour,"{""form"":""flour""}","{""cohort"":""fr""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-057,positive,(LARGE EGGS),en,accepted,egg,"{""egg_part"":""whole"",""size"":""large""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-058,positive,(FRESH CORIANDER),en,accepted,coriander,"{""state"":""fresh""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-059,positive,(BACKPULVER),de,accepted,baking-powder,{},"{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-060,positive,(ALL PURPOSE FLOUR),en,accepted,flour,"{""form"":""flour"",""refinement"":""all_purpose""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-061,positive,(BROWN SUGAR),und,accepted,sugar,"{""refinement"":""brown""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-062,positive,(DE ACEITE DE OLIVA),es,accepted,oil,"{""variety"":""olive""}","{""cohort"":""es""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-063,positive,(ŒUFS),fr,accepted,egg,"{""egg_part"":""whole""}","{""cohort"":""fr""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-064,positive,(WHOLE MILK),en,accepted,milk,"{""fat_content"":""whole"",""form"":""whole""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-065,positive,(OLIO EXTRAVERGINE DI OLIVA),it,accepted,oil,"{""variety"":""olive""}","{""cohort"":""it""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-066,positive,(DI BURRO),und,accepted,butter,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-067,positive,(GOUSSES D AIL),fr,accepted,garlic,"{""form"":""clove""}","{""cohort"":""fr""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-068,positive,(NATURAL VANILLA EXTRACT),en,accepted,vanilla-extract,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-069,positive,(EGG),und,accepted,egg,"{""egg_part"":""whole""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-070,positive,(ZWIEBEL),de,accepted,onion,{},"{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-071,positive,(GROUND CUMIN),en,accepted,cumin,"{""form"":""ground""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-072,positive,(DI PEPE NERO MACINATO),it,accepted,piper-pepper,"{""form"":""ground"",""variety"":""black""}","{""cohort"":""it""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-073,positive,(DE AZÚCAR),und,accepted,sugar,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-074,positive,(GROUND NUTMEG),en,accepted,nutmeg,"{""form"":""ground""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-075,positive,(OIL),und,accepted,oil,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-076,positive,(GOUSSE D AIL),fr,accepted,garlic,"{""form"":""clove""}","{""cohort"":""fr""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-077,positive,(MOZZARELLA),und,accepted,mozzarella,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-078,positive,(EI),de,accepted,egg,"{""egg_part"":""whole""}","{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-079,positive,(SAHNE),de,accepted,cream,{},"{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-080,positive,(DENTES DE ALHO),pt,accepted,garlic,"{""form"":""clove""}","{""cohort"":""pt""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-081,positive,(D OIGNON),und,accepted,onion,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-082,positive,(SOY SAUCE),und,accepted,soy-sauce,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-083,positive,(DI OLIO EXTRAVERGINE DI OLIVA),it,accepted,oil,"{""variety"":""olive""}","{""cohort"":""it""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-084,positive,(DE LAIT),und,accepted,milk,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-085,positive,(MANTEIGA),pt,accepted,butter,{},"{""cohort"":""pt""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-086,positive,(EGG YOLKS),en,accepted,egg-yolk,"{""egg_part"":""yolk""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-087,positive,(ZUCCHINI),und,accepted,zucchini,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-088,positive,(SPICCHIO DI AGLIO),it,accepted,garlic,"{""form"":""clove""}","{""cohort"":""it""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-089,positive,(DE CEBOLLA),und,accepted,onion,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-090,positive,(FRESH FLAT LEAF PARSLEY),en,accepted,parsley,"{""state"":""fresh""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-091,positive,(CARROT),und,accepted,carrot,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-092,positive,(DE CAROTTES),und,accepted,carrot,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-093,positive,(CREAM CHEESE),und,accepted,cream-cheese,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-094,positive,(DRIED INSTANT YEAST),en,accepted,yeast,"{""processing"":""dried""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-095,positive,(FRESH PARSLEY),en,accepted,parsley,"{""state"":""fresh""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-096,positive,(DRIED OREGANO),en,accepted,oregano,"{""processing"":""dried""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-097,positive,(WHITE SUGAR),en,accepted,sugar,"{""refinement"":""white""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-098,positive,(WODY),pl,accepted,water,{},"{""cohort"":""pl""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-099,positive,(DU POIVRE MOULU),fr,accepted,piper-pepper,"{""form"":""ground""}","{""cohort"":""fr""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-100,positive,(PETERSILIE),de,accepted,parsley,{},"{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-101,positive,(TOMATENMARK),de,accepted,tomato-paste,{},"{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-102,positive,(SESAME OIL),und,accepted,oil,"{""variety"":""sesame""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-103,positive,(DE MANTEQUILLA),und,accepted,butter,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-104,positive,(DE MIEL),fr,accepted,honey,{},"{""cohort"":""fr""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-105,positive,(GROUND TURMERIC),en,accepted,turmeric,"{""form"":""ground""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-106,positive,(ICING SUGAR),en,accepted,sugar,"{""refinement"":""powdered""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-107,positive,(RED ONION),en,accepted,onion,"{""variety"":""red""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-108,positive,(DU SEL),und,accepted,salt,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-109,positive,(DIJON MUSTARD),und,accepted,dijon-mustard,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-110,positive,(PAPRIKA),und,accepted,paprika,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-111,positive,(HONIG),de,accepted,honey,{},"{""cohort"":""de""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-112,positive,(FRESHLY SQUEEZED LEMON JUICE),en,accepted,lemon-juice,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-113,positive,(ONION),und,accepted,onion,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-114,positive,(D OIGNONS),und,accepted,onion,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-115,positive,(DIENTES DE AJO),es,accepted,garlic,"{""form"":""clove""}","{""cohort"":""es""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-116,positive,(VEGETABLE STOCK PASTE),en,accepted,stock-paste,"{""form"":""paste"",""variety"":""vegetable""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-117,positive,(POURING WHIPPING CREAM),en,accepted,cream,"{""cream_class"":""whipping""}",{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-118,positive,(SHALLOTS),en,accepted,shallot,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-119,positive,(OVOS),pt,accepted,egg,"{""egg_part"":""whole""}","{""cohort"":""pt""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-120,positive,(LIME),und,accepted,lime,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-121,positive,(DI ZUCCHERO),und,accepted,sugar,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-122,positive,(PARMESAN),und,accepted,parmesan,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-123,positive,(KETCHUP),und,accepted,ketchup,{},{},curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
independent-holdout-positive-124,positive,(UOVA),it,accepted,egg,"{""egg_part"":""whole""}","{""cohort"":""it""}",curated-ontology-v3-review-fixes/eval-ontology-audit.json,operator-corrective-review-v2,Independent holdout surface-form review; not an ingest manifest row
