review_fingerprint,expected_product_id,disposition_code,entity_slug,attributes_json,rationale
3fd73fe77c2b7870ab1df0d95208ce05a85b8855084a3ddf99e0dfdf5988aafb,127,D2,coffee,"{""form"":""bean""}",Reviewed coffee-bean product identity
f93c169c7d0bd21ac574e8a1de45470afef3b355610ae6fc4c34ec4589181e81,128,D9,,{},Retail package and roast string is not an exact ontology alias
972cbb08fe23d209724c87c5b4fb814bab5a6392b2615be6be431deb568b52a8,129,D2,tortilla-chips,"{""variety"":""corn""}",Reviewed corn tortilla chip identity
5811aea58531c90dfaa366b49828a47976572732409aae0956863cf797c5f4be,133,D2,bacon,"{""preparation"":""thick_cut""}",Reviewed bacon identity and thick-cut preparation
fb7e15b56bf15ec8f15dd483cd42cae717a9c25e55cee33d974ee5ffe57fbf34,135,D2,sour-cream,"{""cream_class"":""sour""}",Reviewed sour cream identity
3510196edc71d23474e5cce3781423450b13b1108d49d2389c838ef474df4494,137,D1,cream-cheese,{},Reviewed cream cheese identity
eae72cb85e2c0d4810ca167801a1e2223f992bf2c3332ef82578f13652291e2c,138,D5,,{},Nachos are a prepared composite
5935160a13e3e0402e5b7bc585dcfa649036a6b837e49c85e58079e3bd0ba7ca,140,D5,,{},Burger product is prepared/composite and the exact patty identity is opaque
7c5ffb1e6429c614a50abbdcd31286d58aac8816ffb5cc3124e5f2e463f1fbb1,141,D2,milk,"{""fat_content"":""reduced_fat"",""filtration"":""ultra_filtered""}",Reviewed milk identity; ultra-filtering is not pasteurization
e6872ba46ef71879b5373be5a7429bc88e5030d73a697d447930a16ea0f669a5,142,D2,butter,"{""saltedness"":""unsalted""}",Reviewed unsalted butter identity
496ce13712823b62570254794625b7ee5f44ddc8ae1bd79265236cbf80fe2757,144,D1,mango,{},Reviewed mango plural identity
7cbfd01753ecc10f4ba025449a86554efb0cd3efcce6551ee34c6f8d0931e69b,146,D1,blueberry,{},Reviewed blueberry retail identity
681e581d5690def4730974f83f49ee5104e32b7fb28e6596c50f8abec0125125,147,D5,,{},Seasoning dressing and dip mix is a prepared composite
f279422857b75514237bfe812e2662a4ae3ab29b31ed2921d79c188b28588f9f,148,D1,buns,{},Reviewed hamburger bun identity; sesame topping is nondefining
e66690b3796c6cd41ada98e810d6d7d3c489e4afad8cf92c6b1400651ce3aa82,149,D5,,{},Plant-based burger patties are prepared composite products
2615b22a67d85adeebb4ad6d0f658d1606b76176c604bfe600f79242f5e0f3f1,151,D2,brie,"{""cream_class"":""double""}",Reviewed Brie identity and double-cream class
274989605610e67b2841315f6ab2381e00ce1069971a084646547f95afaa6fb3,152,D5,,{},Cherry pie is a prepared composite
9c51eafa42b4901655c4ee1c67f4f3031e7206f0373a1ca0d7f242b3f9e55264,153,D5,,{},Blueberry lemonade is a prepared composite beverage
e6d9dfb75615bb0da6a29237475c89fe55094b63666dcb67b54c43de9ad8f937,154,D5,,{},Chicken sauce is a prepared composite
c87caf03294b0a0f3921892ddd3115c63c3256cb0e2b774aec0f0b13eda75a42,155,D9,,{},Brioche-style wording does not prove an exact bread variety
c10efd0ae8c5682fc407fcf4268ea2a408398904bd2c98e0f5b94126672f7cc3,156,D5,,{},Cola soda is a prepared beverage
b8f6e0cea8a27c81fd46284ad96a26783abc6398a74de466810d07c9c5011c38,157,D5,,{},Zero-calorie cola is a prepared beverage
019aa53b37f8a7a2fe3e821daca5d55ba64998db207e1f8469247f3ea58d59c9,158,D5,,{},Flavored retail chips are prepared snack products
aba7770a4c8b82e9860f341f60d593b1b8cc528d35142249bea2d35955d9c78e,159,D5,,{},Flavored retail chips are prepared snack products
47e24cf2c219e3793346fa9b8b7f27ae657839af2716847437e09fe2da13697e,160,D5,,{},Flavored retail chips are prepared snack products
6e0cf7471ae1088e4dad581ecff220a59a32c5cc3b46ca6ad798c112b03f098a,161,D1,baguette,{},Reviewed sourdough baguette base identity
efa72a6de94be50b1e935b36860f043e72386cfa3bc35530fffc2c6f98dfa11c,162,D5,,{},Flavored coffee creamer is a prepared composite product
493eb633b92b1af3d550e65f4aadf345f069117fb054a8da4a4120341908ba8a,163,D5,,{},Flavored coffee creamer is a prepared composite product
070fa76a47ba027514fe193541ff1e59e048a957d30e599e45f0f8cfd1a7ac52,164,D5,,{},Branded sports drink is a prepared beverage
c78c4386ce7ffc9ea1b321aa69ef2a1f1d376dc08350d7f05cedae7f9ee42d45,165,D5,,{},Branded puff cereal is a prepared composite
7f207c5173cc9fd6a722a8d5bc60d716e1cd66d17e960d8c6ecac11e206b57e2,166,D5,,{},Branded puff cereal is a prepared composite
fab9a2a2c560dec8e77fa1240b00f96975539ad3661fa17afa461240bd3a2721,175,D5,,{},Garlic shrimp pasta is a prepared meal
cd621270b657ca54a2fc129aaec0dc10a0cbed33b4c269459e7dcb78483319e0,176,D5,,{},Santa Fe chicken salad is a prepared composite
2d7660c25088f11ddc64a15ba3ec14a83505aed0d78c48e4cc2d02455da57091,177,D5,,{},Santa Fe salad is a prepared composite
8d24baea176046f93e3c7953b199bd185e5fc1243600a3b931d5e8a2436c562b,178,D5,,{},Chocolate candy is a prepared composite
a1026808fdd7aca3ef4ef4c218873e8ea1b46a85d2587d447e6f148e928b0607,179,D5,,{},Beef bibimbap is a prepared meal
8f874b7bf25d1c1b3ae2b04a3f4bb2028861824e7dd5f5c7574799761e5b04bc,180,D5,,{},Smoke-roasted salmon bites are a prepared composite
6c9822f3583da5596981e69175ea2476ca88cc590dfbf517befec9bb3061077a,181,D1,jack-fruit,{},Reviewed jackfruit identity
