case_id,polarity,source_corpus,source_record_key,original_label,language,resolver_context_json,expected_status,expected_entity_slug,expected_attributes_json,expected_evidence_json,evidence_category,primary_evidence_citation,rationale,adjudicator,adjudicated_at
v313-pos-011,positive,frozen_eval_recipe_ingredient,eval-ri-4923,rice flour,en,{},accepted,flour,"{""form"":""flour"",""variety"":""rice""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=4923 plus independent culinary adjudication,Rice flour is flour with rice variety and never bare rice.,operator-corrective-review-v3,2026-08-11
v313-pos-012,positive,frozen_eval_recipe_ingredient,eval-ri-17265,almond flour,en,{},accepted,flour,"{""form"":""flour"",""variety"":""almond""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=17265 plus independent culinary adjudication,Almond flour keeps flour as the base and almond as a defining variety.,operator-corrective-review-v3,2026-08-11
v313-pos-013,positive,frozen_eval_recipe_ingredient,eval-ri-1700,rice wine vinegar,en,{},accepted,vinegar,"{""variety"":""rice""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=1700 plus independent culinary adjudication,Rice wine vinegar is vinegar of rice variety rather than rice or wine identity.,operator-corrective-review-v3,2026-08-11
v313-pos-014,positive,frozen_eval_recipe_ingredient,eval-ri-17781,rice milk,en,{},accepted,milk-alternative,"{""variety"":""rice""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=17781 plus independent culinary adjudication,Rice milk is a rice-variety milk alternative and not dairy milk or rice grain.,operator-corrective-review-v3,2026-08-11
v313-pos-015,positive,frozen_eval_recipe_ingredient,eval-ri-28840,hazelnut milk,en,{},accepted,milk-alternative,"{""variety"":""hazelnut""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=28840 plus independent culinary adjudication,Hazelnut milk is a hazelnut-variety milk alternative and not dairy milk.,operator-corrective-review-v3,2026-08-11
v313-pos-016,positive,frozen_eval_recipe_ingredient,eval-ri-3204,rice vermicelli,en,{},accepted,noodle,"{""form"":""noodle"",""variety"":""rice""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=3204 plus independent culinary adjudication,Rice vermicelli is a noodle form with rice variety and not bare rice.,operator-corrective-review-v3,2026-08-11
v313-pos-017,positive,frozen_eval_recipe_ingredient,eval-ri-4419,whole milk,en,{},accepted,milk,"{""fat_content"":""whole""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=4419 plus independent culinary adjudication,Whole describes milk fat content here and not a physical whole form.,operator-corrective-review-v3,2026-08-11
v313-pos-018,positive,frozen_eval_recipe_ingredient,eval-ri-4661,half and half,en,{},accepted,cream,"{""cream_class"":""half_and_half""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=4661 plus independent culinary adjudication,Half and half is cream with a defining cream class rather than a separate base.,operator-corrective-review-v3,2026-08-11
v313-pos-019,positive,frozen_eval_recipe_ingredient,eval-ri-4620,white chocolate,en,{},accepted,chocolate,"{""chocolate_class"":""white""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=4620 plus independent culinary adjudication,White chocolate is represented by chocolate plus its defining class.,operator-corrective-review-v3,2026-08-11
v313-pos-020,positive,frozen_eval_recipe_ingredient,eval-ri-1144,coconut milk,en,{},accepted,coconut-milk,{},"{""mapping_source"":""exact_alias""}",culinary_identity,frozen eval recipe_ingredients.id=1144 plus independent culinary adjudication,Coconut is inherent in the coconut-milk identity and is not duplicated as a variety.,operator-corrective-review-v3,2026-08-11
v313-pos-021,positive,frozen_eval_recipe_ingredient,eval-ri-1760,baking powder,en,{},accepted,baking-powder,{},"{""mapping_source"":""exact_alias""}",culinary_identity,frozen eval recipe_ingredients.id=1760 plus independent culinary adjudication,Baking powder is a prepared leavening identity; powder is inherent in its name.,operator-corrective-review-v3,2026-08-11
v313-pos-022,positive,frozen_eval_recipe_ingredient,eval-ri-986,freshly squeezed lemon juice,en,{},accepted,lemon-juice,"{""state"":""fresh""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=986 plus independent culinary adjudication,Freshly squeezed preserves fresh state on the lemon-juice identity.,operator-corrective-review-v3,2026-08-11
v313-pos-023,positive,frozen_eval_recipe_ingredient,eval-ri-1708,tomato sauce,en,{},accepted,tomato-sauce,{},"{""mapping_source"":""exact_alias""}",culinary_identity,frozen eval recipe_ingredients.id=1708 plus independent culinary adjudication,Tomato is inherent in tomato-sauce and is not duplicated as a variety facet.,operator-corrective-review-v3,2026-08-11
v313-pos-024,positive,frozen_eval_recipe_ingredient,eval-ri-2903,corn starch,en,{},accepted,cornstarch,{},"{""mapping_source"":""exact_alias""}",culinary_identity,frozen eval recipe_ingredients.id=2903 plus independent culinary adjudication,Corn starch and cornstarch are one identity; corn is inherent in the base.,operator-corrective-review-v3,2026-08-11
v313-pos-025,positive,frozen_eval_recipe_ingredient,eval-ri-324,garlic cloves,en,{},accepted,garlic,"{""form"":""clove""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=324 plus independent culinary adjudication,Cloves are the reviewed physical form of garlic and not clove spice.,operator-corrective-review-v3,2026-08-11
v313-pos-026,positive,frozen_eval_recipe_ingredient,eval-ri-3644,egg yolks,en,{},accepted,egg-yolk,"{""egg_part"":""yolk""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=3644 plus independent culinary adjudication,Egg yolks resolve to the yolk identity with exact egg-part facet.,operator-corrective-review-v3,2026-08-11
v313-pos-027,positive,frozen_eval_recipe_ingredient,eval-ri-1019,fresh parsley,en,{},accepted,parsley,"{""state"":""fresh""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=1019 plus independent culinary adjudication,Fresh is retained as defining state on parsley.,operator-corrective-review-v3,2026-08-11
v313-pos-028,positive,frozen_eval_recipe_ingredient,eval-ri-892,dried oregano,en,{},accepted,oregano,"{""processing"":""dried""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=892 plus independent culinary adjudication,Dried is preserved as processing on oregano.,operator-corrective-review-v3,2026-08-11
v313-pos-029,positive,frozen_eval_recipe_ingredient,eval-ri-937,unsalted butter,en,{},accepted,butter,"{""saltedness"":""unsalted""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=937 plus independent culinary adjudication,Unsalted is a defining butter saltedness facet.,operator-corrective-review-v3,2026-08-11
v313-pos-030,positive,frozen_eval_recipe_ingredient,eval-ri-3433,crème fraîche,fr,{},accepted,creme-fraiche,{},"{""mapping_source"":""exact_alias""}",culinary_identity,frozen eval recipe_ingredients.id=3433 plus independent culinary adjudication,Crème fraîche names the cultured dairy identity directly.,operator-corrective-review-v3,2026-08-11
v313-pos-031,positive,frozen_eval_recipe_ingredient,eval-ri-890,Dijon mustard,en,{},accepted,dijon-mustard,{},"{""mapping_source"":""exact_alias""}",culinary_identity,frozen eval recipe_ingredients.id=890 plus independent culinary adjudication,Dijon mustard is a reviewed mustard subtype identity.,operator-corrective-review-v3,2026-08-11
v313-pos-032,positive,frozen_eval_recipe_ingredient,eval-ri-1704,soy sauce,en,{},accepted,soy-sauce,{},"{""mapping_source"":""exact_alias""}",culinary_identity,frozen eval recipe_ingredients.id=1704 plus independent culinary adjudication,Soy sauce is an exact prepared sauce identity and not Portuguese parsley salsa.,operator-corrective-review-v3,2026-08-11
v313-pos-033,positive,frozen_eval_recipe_ingredient,eval-ri-2111,fish sauce,en,{},accepted,fish-sauce,{},"{""mapping_source"":""exact_alias""}",culinary_identity,frozen eval recipe_ingredients.id=2111 plus independent culinary adjudication,Fish sauce is an exact prepared sauce identity and not bare salsa.,operator-corrective-review-v3,2026-08-11
v313-pos-034,positive,frozen_eval_recipe_ingredient,eval-ri-341,lime juice,en,{},accepted,lime-juice,{},"{""mapping_source"":""exact_alias""}",culinary_identity,frozen eval recipe_ingredients.id=341 plus independent culinary adjudication,Lime juice is its own prepared juice identity rather than lime fruit.,operator-corrective-review-v3,2026-08-11
v313-pos-035,positive,frozen_eval_recipe_ingredient,eval-ri-1752,sesame oil,en,{},accepted,oil,"{""variety"":""sesame""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=1752 plus independent culinary adjudication,Sesame is the defining oil variety and not sesame-seed identity.,operator-corrective-review-v3,2026-08-11
v313-pos-036,positive,frozen_eval_recipe_ingredient,eval-ri-4567,bittersweet chocolate,en,{},accepted,chocolate,"{""chocolate_class"":""bittersweet""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=4567 plus independent culinary adjudication,Bittersweet is a chocolate class and must not resolve to cocktail bitters.,operator-corrective-review-v3,2026-08-11
v313-pos-037,positive,frozen_eval_recipe_ingredient,eval-ri-4735,vanilla pod,en,{},accepted,vanilla,"{""form"":""pod""}","{""mapping_source"":""attribute_alias""}",culinary_identity,frozen eval recipe_ingredients.id=4735 plus independent culinary adjudication,A singular vanilla pod remains vanilla and cannot satisfy coffee-pod identity.,operator-corrective-review-v3,2026-08-11
v313-pos-038,positive,frozen_provider_observation,provider-review-c4af63df4677601d32ff28e92448ca568a51f81dd684e07933921970782ff440,chopped spring onions,und,"{""provider_review_key"":""c4af63df4677601d32ff28e92448ca568a51f81dd684e07933921970782ff440"",""provider_ref"":""com.vorwerk.ingredients.Ingredient-rpf-259"",""title_hash"":""885e64fbba0a02fe96ca2e9b7a1cd9832aa11aacc9a31168e1dcb338e9572132"",""owner_fingerprint"":""3a779d8a03cab73ba53ef21fab1b4ee5b4e8101feb14bcb6bebfff5cef69b4da""}",accepted,spring-onion,"{""form"":""chopped""}","{""label_provenance"":""provider-local-review-v3"",""label_source_ref"":""c4af63df4677601d32ff28e92448ca568a51f81dd684e07933921970782ff440"",""mapping_source"":""attribute_alias"",""required_cohort"":null,""required_evidence_key"":""c4af63df4677601d32ff28e92448ca568a51f81dd684e07933921970782ff440"",""required_evidence_kind"":""provider_owner_review""}",provider_ref_title_hash,provider rpf-259 title hash and frozen owner fingerprint,The owner-bound local wording explicitly preserves chopped spring-onion form.,operator-corrective-review-v3,2026-08-11
v313-pos-039,positive,frozen_provider_observation,provider-review-aef9e8f5ecd455fa1435c993a7b52cf66d6b3bafdeeeef94eee4e22b0f1327ed,fresh blueberries,und,"{""provider_review_key"":""aef9e8f5ecd455fa1435c993a7b52cf66d6b3bafdeeeef94eee4e22b0f1327ed"",""provider_ref"":""com.vorwerk.ingredients.Ingredient-rpf-1002"",""title_hash"":""ab45e8474269b026f668d49860b36850122e18a50d5ea38f3fefdae08261865c"",""owner_fingerprint"":""6a31a3cd3d54cc3f295d3b0777ec0ea3b7310c85d81a9fca3f4562bd26ed1a8e""}",accepted,blueberry,"{""state"":""fresh""}","{""label_provenance"":""provider-local-review-v3"",""label_source_ref"":""aef9e8f5ecd455fa1435c993a7b52cf66d6b3bafdeeeef94eee4e22b0f1327ed"",""mapping_source"":""attribute_alias"",""required_cohort"":null,""required_evidence_key"":""aef9e8f5ecd455fa1435c993a7b52cf66d6b3bafdeeeef94eee4e22b0f1327ed"",""required_evidence_kind"":""provider_owner_review""}",provider_ref_title_hash,provider rpf-1002 and title hash ab45e847,Fresh is owner-reviewed state on blueberry and may not be silently dropped.,operator-corrective-review-v3,2026-08-11
v313-pos-040,positive,frozen_provider_observation,provider-review-b209964155ff9ab925c5819746bdc116432477e6d0badbb4a7a828bf25a83240,fresh tomatoes,und,"{""provider_review_key"":""b209964155ff9ab925c5819746bdc116432477e6d0badbb4a7a828bf25a83240"",""provider_ref"":""com.vorwerk.ingredients.Ingredient-rpf-30"",""title_hash"":""5ed728c2fa5d767bc6c1ec6a732db1e37c343be46913e6498d340f7782691f14"",""owner_fingerprint"":""813fc678bfa1fb19627676d9563ee79acf8c458697eb307cdd60340367d7f0ab""}",accepted,tomato,"{""state"":""fresh""}","{""label_provenance"":""provider-local-review-v3"",""label_source_ref"":""b209964155ff9ab925c5819746bdc116432477e6d0badbb4a7a828bf25a83240"",""mapping_source"":""attribute_alias"",""required_cohort"":null,""required_evidence_key"":""b209964155ff9ab925c5819746bdc116432477e6d0badbb4a7a828bf25a83240"",""required_evidence_kind"":""provider_owner_review""}",provider_ref_title_hash,provider rpf-30 and title hash 5ed728c2,The provider-local assertion keeps fresh tomato state while waiving self-variety bleed.,operator-corrective-review-v3,2026-08-11
v313-pos-041,positive,frozen_provider_observation,provider-review-1d9c74b47a74a1a32508a62024ea50cbe7ab984a8a66a6c24a9181b71f71c1e0,freshly squeezed lime juice,und,"{""provider_review_key"":""1d9c74b47a74a1a32508a62024ea50cbe7ab984a8a66a6c24a9181b71f71c1e0"",""provider_ref"":""com.vorwerk.ingredients.Ingredient-rpf-60"",""title_hash"":""7a27b49d802e7afe175331b6fb35e946fbab6849f7e48bd4c184177750fe9cc3"",""owner_fingerprint"":""59119a58b23b8118f994701055f86ff7cd176edcffcec127879eb568f1fa0923""}",accepted,lime-juice,"{""state"":""fresh""}","{""label_provenance"":""provider-local-review-v3"",""label_source_ref"":""1d9c74b47a74a1a32508a62024ea50cbe7ab984a8a66a6c24a9181b71f71c1e0"",""mapping_source"":""attribute_alias"",""required_cohort"":null,""required_evidence_key"":""1d9c74b47a74a1a32508a62024ea50cbe7ab984a8a66a6c24a9181b71f71c1e0"",""required_evidence_kind"":""provider_owner_review""}",provider_ref_title_hash,provider rpf-60 and title hash 7a27b49d,Freshly squeezed is explicitly retained as state on the owner-scoped lime juice.,operator-corrective-review-v3,2026-08-11
v313-pos-042,positive,frozen_provider_observation,provider-review-81025a637496d36e46986403c4e8c9b5d0e9551b8aa95083362268c61da48ec4,granulated sugar,und,"{""provider_review_key"":""81025a637496d36e46986403c4e8c9b5d0e9551b8aa95083362268c61da48ec4"",""provider_ref"":""com.vorwerk.ingredients.Ingredient-rpf-9"",""title_hash"":""cc767fb1c6efc232caf9dd1f6e853d853b58ddd2c058c8820320e69d755c18fb"",""owner_fingerprint"":""f6acb586e8aab800a47951863d38dd77a8dfe25f2cf8aad01a6b42323c20a62b""}",accepted,sugar,"{""refinement"":""granulated""}","{""label_provenance"":""provider-local-review-v3"",""label_source_ref"":""81025a637496d36e46986403c4e8c9b5d0e9551b8aa95083362268c61da48ec4"",""mapping_source"":""attribute_alias"",""required_cohort"":null,""required_evidence_key"":""81025a637496d36e46986403c4e8c9b5d0e9551b8aa95083362268c61da48ec4"",""required_evidence_kind"":""provider_owner_review""}",provider_ref_title_hash,provider rpf-9 and title hash cc767fb1,Granulated is the exact reviewed sugar refinement for this observation.,operator-corrective-review-v3,2026-08-11
v313-pos-043,positive,frozen_provider_observation,provider-review-9c56e769ad11c17f7ce8bf685d375f77ffdaffe8eef21b864ba1ca4c5c6dbaf6,ground paprika,und,"{""provider_review_key"":""9c56e769ad11c17f7ce8bf685d375f77ffdaffe8eef21b864ba1ca4c5c6dbaf6"",""provider_ref"":""com.vorwerk.ingredients.Ingredient-rpf-2765"",""title_hash"":""67aa6b6c143c668356e0bf2568c44deafba7758bc84b5d53372d41cab0d5fa98"",""owner_fingerprint"":""7c815b470e66f336c4911f84231fc9d35a02b30bf9785ef1a8bf6e09b1b1712e""}",accepted,paprika,"{""form"":""ground""}","{""label_provenance"":""provider-local-review-v3"",""label_source_ref"":""9c56e769ad11c17f7ce8bf685d375f77ffdaffe8eef21b864ba1ca4c5c6dbaf6"",""mapping_source"":""attribute_alias"",""required_cohort"":null,""required_evidence_key"":""9c56e769ad11c17f7ce8bf685d375f77ffdaffe8eef21b864ba1ca4c5c6dbaf6"",""required_evidence_kind"":""provider_owner_review""}",provider_ref_title_hash,provider rpf-2765 and title hash 67aa6b6c,Ground form is defining for the reviewed paprika observation.,operator-corrective-review-v3,2026-08-11
v313-pos-044,positive,frozen_provider_observation,provider-review-39354be090ba9d091439527fa66510150e198d87408f5d34cc15dad672b66cfb,large red onions,und,"{""provider_review_key"":""39354be090ba9d091439527fa66510150e198d87408f5d34cc15dad672b66cfb"",""provider_ref"":""com.vorwerk.ingredients.Ingredient-rpf-256"",""title_hash"":""eb31a331ca00003eaf7da5003795d7dd0a6b88438dbeecc3c74f78a9a1cb87dc"",""owner_fingerprint"":""3693ba61faa05c792e30ac2008bc6385ce388aa235831b378074ab2ab96af3b1""}",accepted,onion,"{""size"":""large"",""variety"":""red""}","{""label_provenance"":""provider-local-review-v3"",""label_source_ref"":""39354be090ba9d091439527fa66510150e198d87408f5d34cc15dad672b66cfb"",""mapping_source"":""attribute_alias"",""required_cohort"":null,""required_evidence_key"":""39354be090ba9d091439527fa66510150e198d87408f5d34cc15dad672b66cfb"",""required_evidence_kind"":""provider_owner_review""}",provider_ref_title_hash,provider rpf-256 and title hash eb31a331,The reviewed row preserves red variety and the nondefining large size rather than discarding either.,operator-corrective-review-v3,2026-08-11
v313-pos-045,positive,frozen_provider_observation,provider-review-6ad4571a44533196448d93c2497a199a9a3f158ea634eff6742ce49c1d42c332,low moisture mozzarella,und,"{""provider_review_key"":""6ad4571a44533196448d93c2497a199a9a3f158ea634eff6742ce49c1d42c332"",""provider_ref"":""com.vorwerk.ingredients.Ingredient-rpf-224"",""title_hash"":""b5508392157fa1c40dcab78b7a43b66ece775fd4bbb6e04a1b426db2d42310d7"",""owner_fingerprint"":""6afa840bf9a263e890a23ed85e87bbc8a6fe392cbe88a3866635813b305d1316""}",accepted,mozzarella,"{""moisture"":""low_moisture""}","{""label_provenance"":""provider-local-review-v3"",""label_source_ref"":""6ad4571a44533196448d93c2497a199a9a3f158ea634eff6742ce49c1d42c332"",""mapping_source"":""attribute_alias"",""required_cohort"":null,""required_evidence_key"":""6ad4571a44533196448d93c2497a199a9a3f158ea634eff6742ce49c1d42c332"",""required_evidence_kind"":""provider_owner_review""}",provider_ref_title_hash,provider rpf-224 and title hash b5508392,Low moisture is retained through the closed mozzarella moisture facet.,operator-corrective-review-v3,2026-08-11
v313-pos-046,positive,frozen_provider_observation,provider-review-c6e7bd0ffda4f754648d95240feb559ccc7e233318d3ffbec4092355d35f1b47,rice wine vinegar unseasoned,und,"{""provider_review_key"":""c6e7bd0ffda4f754648d95240feb559ccc7e233318d3ffbec4092355d35f1b47"",""provider_ref"":""com.vorwerk.ingredients.Ingredient-rpf-1450"",""title_hash"":""62d74ac3c5bcc094610be12c34f0878e4267ed6b95b5c0f5ed142681b2d90db9"",""owner_fingerprint"":""fb8d2a9dd65bd910c22db977d7de0dfd62a3087785a553f4da61051263b0f4c5""}",accepted,vinegar,"{""seasoning"":""unseasoned"",""variety"":""rice""}","{""label_provenance"":""provider-local-review-v3"",""label_source_ref"":""c6e7bd0ffda4f754648d95240feb559ccc7e233318d3ffbec4092355d35f1b47"",""mapping_source"":""attribute_alias"",""required_cohort"":null,""required_evidence_key"":""c6e7bd0ffda4f754648d95240feb559ccc7e233318d3ffbec4092355d35f1b47"",""required_evidence_kind"":""provider_owner_review""}",provider_ref_title_hash,provider rpf-1450 and title hash 62d74ac3,Rice variety and unseasoned class are both explicit in the provider-local wording.,operator-corrective-review-v3,2026-08-11
v313-pos-047,positive,frozen_provider_observation,provider-review-3e5b074c2990709a9f62a927580274bbc04fd9e377e788f9b95c1fe86ee68c6c,runny honey,und,"{""provider_review_key"":""3e5b074c2990709a9f62a927580274bbc04fd9e377e788f9b95c1fe86ee68c6c"",""provider_ref"":""com.vorwerk.ingredients.Ingredient-rpf-82"",""title_hash"":""a55e2e3846a51f6ad0abfdfbdea2ba0e5e0c76b5ccfa8a920895fedeae89a8b6"",""owner_fingerprint"":""b6049cd34324c3c654e82b39609eb19014ec6572aacd6c305afdb5c542c5d37a""}",accepted,honey,"{""form"":""liquid""}","{""label_provenance"":""provider-local-review-v3"",""label_source_ref"":""3e5b074c2990709a9f62a927580274bbc04fd9e377e788f9b95c1fe86ee68c6c"",""mapping_source"":""attribute_alias"",""required_cohort"":null,""required_evidence_key"":""3e5b074c2990709a9f62a927580274bbc04fd9e377e788f9b95c1fe86ee68c6c"",""required_evidence_kind"":""provider_owner_review""}",provider_ref_title_hash,provider rpf-82 and title hash a55e2e38,Runny is adjudicated as liquid-form honey rather than ignored residue.,operator-corrective-review-v3,2026-08-11
v313-pos-048,positive,frozen_provider_observation,provider-review-dae9d1d4864ec5116fe7a195bd41bdc7e2b147a944a45a1f8e7d39bb1ab83297,shaved parmesan cheese,und,"{""provider_review_key"":""dae9d1d4864ec5116fe7a195bd41bdc7e2b147a944a45a1f8e7d39bb1ab83297"",""provider_ref"":""com.vorwerk.ingredients.Ingredient-rpf-63"",""title_hash"":""330ef099cde2127854ca50b5747c77b7f5b0d909e97c3a969c06b907f84b6e71"",""owner_fingerprint"":""d7b24b48dbc8e7636ef130f84ca111cfa5b3909141c568b9b162a10fb9de743e""}",accepted,parmesan,"{""form"":""shaved""}","{""label_provenance"":""provider-local-review-v3"",""label_source_ref"":""dae9d1d4864ec5116fe7a195bd41bdc7e2b147a944a45a1f8e7d39bb1ab83297"",""mapping_source"":""attribute_alias"",""required_cohort"":null,""required_evidence_key"":""dae9d1d4864ec5116fe7a195bd41bdc7e2b147a944a45a1f8e7d39bb1ab83297"",""required_evidence_kind"":""provider_owner_review""}",provider_ref_title_hash,provider rpf-63 and title hash 330ef099,Shaved is represented exactly and is not approximated as shredded.,operator-corrective-review-v3,2026-08-11
v313-pos-049,positive,frozen_provider_observation,provider-review-29ed5a4e51fe17979f3eee678a182a1acf52a2c3c88a72dee43a14d97cd53b83,uncooked whole chicken,und,"{""provider_review_key"":""29ed5a4e51fe17979f3eee678a182a1acf52a2c3c88a72dee43a14d97cd53b83"",""provider_ref"":""com.vorwerk.ingredients.Ingredient-rpf-254"",""title_hash"":""811eb81b9d11d65a36c53c3ebdb738ee303403cb79d781ccf4b40764e0a9d12a"",""owner_fingerprint"":""ee518ac957f53e360b40a7974766fd8cea3dafa67cf54390f2cefb1dfcd3497a""}",accepted,chicken,"{""form"":""whole"",""processing"":""raw"",""species"":""chicken""}","{""label_provenance"":""provider-local-review-v3"",""label_source_ref"":""29ed5a4e51fe17979f3eee678a182a1acf52a2c3c88a72dee43a14d97cd53b83"",""mapping_source"":""attribute_alias"",""required_cohort"":null,""required_evidence_key"":""29ed5a4e51fe17979f3eee678a182a1acf52a2c3c88a72dee43a14d97cd53b83"",""required_evidence_kind"":""provider_owner_review""}",provider_ref_title_hash,provider rpf-254 and title hash 811eb81b,Whole form raw processing and chicken species are all explicit and retained.,operator-corrective-review-v3,2026-08-11
v313-pos-050,positive,frozen_provider_observation,provider-review-d3719bd88c3bcd217f2c5ae60531f245bc14ea5ec14a8e7a9738fb61128a6d76,white rice,und,"{""provider_review_key"":""d3719bd88c3bcd217f2c5ae60531f245bc14ea5ec14a8e7a9738fb61128a6d76"",""provider_ref"":""com.vorwerk.ingredients.Ingredient-rpf-7"",""title_hash"":""209f76418ece7c936b65ff4777a578d860f762c37ad6c7f08f5826242199ef51"",""owner_fingerprint"":""97a58373a0927d1eecf2a0709c7d3ccfcb8843035233d8261cc3ae84c4f042a1""}",accepted,rice,"{""refinement"":""white""}","{""label_provenance"":""provider-local-review-v3"",""label_source_ref"":""d3719bd88c3bcd217f2c5ae60531f245bc14ea5ec14a8e7a9738fb61128a6d76"",""mapping_source"":""attribute_alias"",""required_cohort"":null,""required_evidence_key"":""d3719bd88c3bcd217f2c5ae60531f245bc14ea5ec14a8e7a9738fb61128a6d76"",""required_evidence_kind"":""provider_owner_review""}",provider_ref_title_hash,provider rpf-7 and title hash 209f7641,White is preserved as rice refinement while self-variety parser bleed is waived.,operator-corrective-review-v3,2026-08-11
