normalized_label,label,language,required_cohort,prior_entity_slugs,prior_mechanisms,prior_occurrences,decision,disposition_code,entity_slug,attributes_json,reviewer,review_batch,rationale,source_citation
d origan séché,d origan séché,und,,oregano,attribute_alias,31,retain,D2,oregano,"{""processing"":""dried""}",operator-corrective-review-v3,full-ontology-resolution-v3,Dried is an explicit defining preservation state in this reviewed French oregano label,corrective-v3.14 transition facet review
de cilantro fresco,de cilantro fresco,und,,coriander,attribute_alias,54,retain,D2,coriander,"{""state"":""fresh""}",operator-corrective-review-v3,full-ontology-resolution-v3,Fresh is explicit in this reviewed Spanish cilantro label,corrective-v3.14 transition facet review
de la coriandre fraîche,de la coriandre fraîche,und,,coriander,attribute_alias,2,retain,D2,coriander,"{""state"":""fresh""}",operator-corrective-review-v3,full-ontology-resolution-v3,Fresh is explicit in this reviewed French coriander label,corrective-v3.14 transition facet review
de orégano seco,de orégano seco,und,,oregano,attribute_alias,125,retain,D2,oregano,"{""processing"":""dried""}",operator-corrective-review-v3,full-ontology-resolution-v3,Dried is explicit in this reviewed Spanish oregano label,corrective-v3.14 transition facet review
de perejil fresco,de perejil fresco,und,,parsley,attribute_alias,133,retain,D2,parsley,"{""state"":""fresh""}",operator-corrective-review-v3,full-ontology-resolution-v3,Fresh is explicit in this reviewed Spanish parsley label,corrective-v3.14 transition facet review
de persil séché,de persil séché,und,,parsley,attribute_alias,3,retain,D2,parsley,"{""processing"":""dried""}",operator-corrective-review-v3,full-ontology-resolution-v3,Dried is explicit in this reviewed French parsley label,corrective-v3.14 transition facet review
de pimienta blanca molida,de pimienta blanca molida,und,,pepper,attribute_alias,36,retarget,D2,piper-pepper,"{""form"":""ground"",""variety"":""white""}",operator-corrective-review-v3,full-ontology-resolution-v3,Ground form and white Piper variety are explicit in the reviewed Spanish label,corrective-v3.14 transition facet review
de pimienta negra molida,de pimienta negra molida,und,,pepper,attribute_alias,286,retarget,D2,piper-pepper,"{""form"":""ground"",""variety"":""black""}",operator-corrective-review-v3,full-ontology-resolution-v3,Ground form and black Piper variety are explicit in the reviewed Spanish label,corrective-v3.14 transition facet review
de poivre blanc moulu,de poivre blanc moulu,und,,pepper,attribute_alias,137,retarget,D2,piper-pepper,"{""form"":""ground"",""variety"":""white""}",operator-corrective-review-v3,full-ontology-resolution-v3,Ground form and white Piper variety are explicit in the reviewed French label,corrective-v3.14 transition facet review
de poivre noir moulu,de poivre noir moulu,und,,pepper,attribute_alias,298,retarget,D2,piper-pepper,"{""form"":""ground"",""variety"":""black""}",operator-corrective-review-v3,full-ontology-resolution-v3,Ground form and black Piper variety are explicit in the reviewed French label,corrective-v3.14 transition facet review
di lievito di birra fresco,di lievito di birra fresco,und,,yeast,attribute_alias,222,retain,D2,yeast,"{""state"":""fresh""}",operator-corrective-review-v3,full-ontology-resolution-v3,Fresh is explicit in this reviewed Italian yeast label,corrective-v3.14 transition facet review
di origano secco,di origano secco,und,,oregano,attribute_alias,93,retain,D2,oregano,"{""processing"":""dried""}",operator-corrective-review-v3,full-ontology-resolution-v3,Dried is explicit in this reviewed Italian oregano label,corrective-v3.14 transition facet review
di pepe bianco macinato,di pepe bianco macinato,und,,pepper,attribute_alias,71,retarget,D2,piper-pepper,"{""form"":""ground"",""variety"":""white""}",operator-corrective-review-v3,full-ontology-resolution-v3,Ground form and white Piper variety are explicit in the reviewed Italian label,corrective-v3.14 transition facet review
di pepe nero,di pepe nero,und,,pepper,attribute_alias,3,retarget,D2,piper-pepper,"{""variety"":""black""}",operator-corrective-review-v3,full-ontology-resolution-v3,Black Piper variety is explicit in the reviewed Italian label,corrective-v3.14 transition facet review
di prezzemolo fresco,di prezzemolo fresco,und,,parsley,attribute_alias,157,retain,D2,parsley,"{""state"":""fresh""}",operator-corrective-review-v3,full-ontology-resolution-v3,Fresh is explicit in this reviewed Italian parsley label,corrective-v3.14 transition facet review
du persil frais,du persil frais,und,,parsley,attribute_alias,2,retain,D2,parsley,"{""state"":""fresh""}",operator-corrective-review-v3,full-ontology-resolution-v3,Fresh is explicit in this reviewed French parsley label,corrective-v3.14 transition facet review
du poivre noir moulu,du poivre noir moulu,und,,pepper,attribute_alias,4,retarget,D2,piper-pepper,"{""form"":""ground"",""variety"":""black""}",operator-corrective-review-v3,full-ontology-resolution-v3,Ground form and black Piper variety are explicit in the reviewed French label,corrective-v3.14 transition facet review
de l huile d olive,de l huile d olive,und,,oil,attribute_alias,5,retain,D2,oil,"{""variety"":""olive""}",operator-corrective-review-v3,full-ontology-resolution-v3,Olive variety is explicit in the reviewed French oil label,corrective-v3.14 transition facet review
