child_slug,parent_slug,semantic_kind,reviewer,rationale,source_citation
cream-cheese,cheese,subtype,operator-corrective-review-v3,Cream cheese is a cheese type,corrective-v3.13 complete identity-parent audit
dijon-mustard,mustard,subtype,operator-corrective-review-v3,Dijon mustard is a mustard type,corrective-v3.13 complete identity-parent audit
evaporated-milk,milk,subtype,operator-corrective-review-v3,Evaporated milk is a prepared milk type,corrective-v3.13 complete identity-parent audit
feta,cheese,subtype,operator-corrective-review-v3,Feta is a cheese type,corrective-v3.13 complete identity-parent audit
grits,cereal,subtype,operator-corrective-review-v3,Grits are a prepared cereal identity while corn remains derivation evidence,corrective-v3.13 complete identity-parent audit
jalapeno-pepper,chilli-pepper,subtype,operator-corrective-review-v3,Jalapeño pepper is a chilli-pepper variety identity,corrective-v3.13 complete identity-parent audit
lemon-juice,juice,subtype,operator-corrective-review-v3,Lemon juice is a fruit-specific juice identity,corrective-v3.13 complete identity-parent audit
lime-juice,juice,subtype,operator-corrective-review-v3,Lime juice is a fruit-specific juice identity,corrective-v3.13 complete identity-parent audit
marinara-sauce,tomato-sauce,subtype,operator-corrective-review-v3,Marinara is a tomato-sauce type,corrective-v3.13 complete identity-parent audit
mozzarella,cheese,subtype,operator-corrective-review-v3,Mozzarella is a cheese type,corrective-v3.13 complete identity-parent audit
nut-butter,spread,subtype,operator-corrective-review-v3,Nut butter is a spread identity and not a subtype of dairy butter,corrective-v3.13 complete identity-parent audit
orange-juice,juice,subtype,operator-corrective-review-v3,Orange juice is a fruit-specific juice identity,corrective-v3.13 complete identity-parent audit
oyster,shellfish,subtype,operator-corrective-review-v3,Oyster is a shellfish type,corrective-v3.13 complete identity-parent audit
parmesan,cheese,subtype,operator-corrective-review-v3,Parmesan is a cheese type,corrective-v3.13 complete identity-parent audit
peanut-butter,nut-butter,subtype,operator-corrective-review-v3,Peanut butter is a nut-butter type,corrective-v3.13 complete identity-parent audit
pear-marmalade,fruit-preserve,subtype,operator-corrective-review-v3,Pear marmalade is a fruit-preserve type while pear remains derivation evidence,corrective-v3.13 complete identity-parent audit
pecorino,cheese,subtype,operator-corrective-review-v3,Pecorino is a cheese identity distinct from generic cheese and other named cheese varieties,corrective-v3.18 pecorino identity adjudication
pecorino-romano,pecorino,subtype,operator-corrective-review-v3,Pecorino Romano is a named Pecorino variety that remains distinct from generic Pecorino,corrective-v3.18 pecorino identity adjudication
pepper-jack-cheese,cheese,subtype,operator-corrective-review-v3,Pepper Jack is a cheese type,corrective-v3.13 complete identity-parent audit
pineapple-juice,juice,subtype,operator-corrective-review-v3,Pineapple juice is a fruit-specific juice identity,corrective-v3.13 complete identity-parent audit
plant-based-milk,milk-alternative,subtype,operator-corrective-review-v3,Plant-based milk is a milk-alternative type,corrective-v3.13 complete identity-parent audit
ranch-dressing,salad-dressing,subtype,operator-corrective-review-v3,Ranch dressing is a salad-dressing type,corrective-v3.13 complete identity-parent audit
salsa,dip,subtype,operator-corrective-review-v3,Salsa as a prepared food identity is a dip type; homographic parsley remains context-gated,corrective-v3.13 complete identity-parent audit
seasoning-blend,seasoning,subtype,operator-corrective-review-v3,A seasoning blend is a seasoning type,corrective-v3.13 complete identity-parent audit
sour-cream,cream,subtype,operator-corrective-review-v3,Sour cream is a cream type,corrective-v3.13 complete identity-parent audit
spicy-brown-mustard,brown-mustard,subtype,operator-corrective-review-v3,Spicy brown mustard is a brown-mustard type,corrective-v3.13 complete identity-parent audit
stock-paste,stock-base,subtype,operator-corrective-review-v3,Stock paste is a concentrated stock-base type,corrective-v3.13 complete identity-parent audit
swiss-cheese,cheese,subtype,operator-corrective-review-v3,Swiss cheese is a cheese type,corrective-v3.13 complete identity-parent audit
yellow-mustard,mustard,subtype,operator-corrective-review-v3,Yellow mustard is a mustard type,corrective-v3.13 complete identity-parent audit
