entity_slug,decision,contrast_policy,rationale,reviewer,review_batch,source_citation
pecorino,retain_identity,same_entity_only,Pecorino is a valid generic cheese requirement; Pecorino Romano ancestry and variant evidence do not independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.18 pecorino identity adjudication
shellfish,retain_identity,same_entity_only,Shellfish is a valid generic culinary requirement; clam or oyster descendants do not satisfy it through ancestry alone,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
starch,retain_identity,same_entity_only,Starch is a valid generic culinary requirement; cornstarch ancestry is context only and cannot independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
tomato-sauce,retain_identity,same_entity_only,Tomato sauce is a valid generic prepared requirement; marinara ancestry is context only and cannot independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
wine,retain_identity,same_entity_only,Wine is a valid generic culinary requirement; cooking-wine ancestry is context only and cannot independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
bean,retain_identity,same_entity_only,Bean is a valid generic culinary requirement; black-bean ancestry is context only and cannot independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
brown-mustard,retain_identity,same_entity_only,Brown mustard is a valid generic culinary requirement; spicy-brown-mustard ancestry is context only and cannot independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
cereal,retain_identity,same_entity_only,Cereal is a valid generic culinary requirement; grits ancestry is context only and cannot independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
creamer,retain_identity,same_entity_only,Creamer is a valid generic culinary requirement; coffee-creamer ancestry is context only and cannot independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
dip,retain_identity,same_entity_only,Dip is a valid generic prepared requirement; salsa ancestry is context only and cannot independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
flavoring,retain_identity,same_entity_only,Flavoring is a valid generic culinary requirement; bitters ancestry is context only and cannot independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
fruit-preserve,retain_identity,same_entity_only,Fruit preserve is a valid generic prepared requirement; pear-marmalade ancestry is context only and cannot independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
juice,retain_identity,same_entity_only,Juice is a valid generic prepared requirement; specific fruit-juice descendants do not satisfy it through ancestry alone,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
milk-alternative,retain_identity,same_entity_only,Milk alternative is a valid generic culinary requirement; specific plant milk descendants do not satisfy it through ancestry alone,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
pie,retain_identity,same_entity_only,Pie is a valid generic composite requirement; cherry-pie ancestry is context only and cannot independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
salad-dressing,retain_identity,same_entity_only,Salad dressing is a valid generic prepared requirement; Caesar or ranch descendants do not satisfy it through ancestry alone,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
seasoning,retain_identity,same_entity_only,Seasoning is a valid generic culinary requirement; seasoning-blend ancestry is context only and cannot independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
spread,retain_identity,same_entity_only,Spread is a valid generic prepared requirement; nut-butter ancestry is context only and cannot independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
stock-base,retain_identity,same_entity_only,Stock base is a valid generic prepared requirement; stock-paste ancestry is context only and cannot independently satisfy it,operator-corrective-review-v3,full-ontology-resolution-v3,corrective-v3.14 generic culinary identity review
