slug,label,language,attributes_json,required_cohort,required_evidence_kind,required_evidence_key,rationale
olive,măsline Kalamata fără sâmburi,und,"{""preparation"":""pitted"",""variety"":""kalamata""}",,,,Unambiguous frozen Romanian wording remains resolvable when source locale is unavailable
olive,azeitona Kalamata,und,"{""variety"":""kalamata""}",,,,Observed unqualified Portuguese Kalamata olive remains resolvable when source locale is unavailable
olive,azeitonas Kalamata,und,"{""variety"":""kalamata""}",,,,Observed unqualified Portuguese Kalamata olives remain resolvable when source locale is unavailable
olive,di oliva Kalamata denocciolata,und,"{""preparation"":""pitted"",""variety"":""kalamata""}",,,,Unambiguous frozen Italian singular remains resolvable when source locale is unavailable
olive,di olive Kalamata denocciolate,und,"{""preparation"":""pitted"",""variety"":""kalamata""}",,,,Unambiguous frozen Italian wording remains resolvable when source locale is unavailable
olive,Kalamata oliven udstenede,und,"{""preparation"":""pitted"",""variety"":""kalamata""}",,,,Unambiguous frozen Danish wording remains resolvable when source locale is unavailable
olive,oliwek Kalamata bez pestek,und,"{""preparation"":""pitted"",""variety"":""kalamata""}",,,,Unambiguous frozen Polish wording remains resolvable when source locale is unavailable
olive,pitted Kalamata olives,und,"{""preparation"":""pitted"",""variety"":""kalamata""}",,,,Observed English plural remains resolvable when source locale is unavailable
olive,Kalamata olives pitted,und,"{""preparation"":""pitted"",""variety"":""kalamata""}",,,,Observed English postpositive wording remains resolvable when source locale is unavailable
olive,pitted Kalamata olive,und,"{""preparation"":""pitted"",""variety"":""kalamata""}",,,,Observed English singular remains resolvable when source locale is unavailable
